Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
The Woodlands Township,Spring,TX,60134,"City, County or Local Government Unit or Department of Transportation",Full Reporter,87300,"The Woodlands--Conroe, TX","402,454",29,MB,DO,4,0.00,,0.00,,83.66,,11,,7.69,,3.37,,0,,"1,057,408",,"137,425",,"12,640",,"313,917",,"92,259",
"Advance Transit, Inc. NH",White River Junction,VT,10137,Private-Non-Profit Corporation,Rural Reporter,,,,29,DR,DO,3,0.00,,0.00,,102.36,,1,,80.33,,0.00,,0,,"87,314",,"1,087",,853,,0,,"10,013",
Shelby County,Shelbyville,IL,50496,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,29,DR,DO,29,0.70,,0.02,,54.15,,2,,28.15,,0.00,,"37,531",,"1,508,225",,"53,582",,"27,852",,0,,"318,356",
"Prairie Five CAC, Inc.",Montevideo,MN,50334,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,DR,DO,29,2.15,,0.10,,74.16,,3,,21.73,,0.00,,"254,152",,"2,565,070",,"118,024",,"34,590",,0,,"403,716",
City of Oxford,Oxford,MS,41052,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,29,MB,DO,28,0.00,,0.00,,108.74,,15,,7.42,,0.00,,0,,"4,056,560",,"547,027",,"37,304",,0,,"747,102",
The Woodlands Township,Spring,TX,60134,"City, County or Local Government Unit or Department of Transportation",Full Reporter,87300,"The Woodlands--Conroe, TX","402,454",29,CB,PT,25,6.07,,0.30,,299.35,,15,,20.54,,0.54,,"1,482,235",,"5,013,744",,"244,106",,"16,749",,"9,308,174",,"517,592",
Pee Dee Regional Transportation Authority,Florence,SC,40056,Independent Public Agency or Authority of Transit Service,Reduced Reporter,30061,"Florence, SC","89,436",29,MB,DO,21,0.84,,0.06,,72.45,,5,,13.75,,0.00,,"201,576",,"3,305,672",,"240,358",,"45,630",,0,,"795,709",
"St Johns County, Florida, dba: Sunshine Bus Co.",Saint Augustine,FL,40155,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,77230,"St. Augustine, FL","91,786",29,DR,DO,20,2.92,,0.07,,64.56,,2,,40.34,,0.00,,"113,485",,"1,568,191",,"38,874",,"24,290",,0,,"281,169",
"KY River Foothills Development Council, Inc.",Richmond,KY,40979,Private-Non-Profit Corporation,Rural Reporter,,,,29,DR,DO,20,0.72,,0.02,,44.99,,1,,34.77,,0.00,,"37,029",,"1,790,185",,"51,493",,"39,790",,0,,"540,420",
"Northern Arizona Intergovernmental Public Transportation Authority, dba: Mountain Line public transit",Flagstaff,AZ,90219,Independent Public Agency or Authority of Transit Service,Full Reporter,29818,"Flagstaff, AZ","79,842",29,MB,DO,19,0.87,,0.12,,124.10,,18,,7.03,,1.85,,"1,129,816",,"9,129,849",,"1,298,670",,"73,569",,"4,946,084",,"912,707",
Marquette County Transit Authority,Marquette,MI,50427,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,DR,DO,18,1.11,,0.02,,88.53,,2,,50.70,,0.00,,"57,645",,"2,636,955",,"52,014",,"29,787",,0,,"598,888",
Waccamaw Regional Transportation Authority,Conway,SC,40102,Independent Public Agency or Authority of Transit Service,Reduced Reporter,60895,"Myrtle Beach--North Myrtle Beach, SC--NC","298,954",29,MB,DO,18,0.01,,0.00,,110.79,,10,,10.70,,0.00,,"5,207",,"6,382,780",,"596,505",,"57,613",,0,,"1,396,527",
"City of Santa Fe, dba: Santa Fe Trails",,NM,60077,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79363,"Santa Fe, NM","94,241",29,MB,DO,18,0.50,,0.03,,111.66,,6,,18.80,,7.70,,"158,408",,"5,932,902",,"315,664",,"53,134",,"770,225",,"551,283",
"City of Clarksville, dba: Clarksville Transit System",Clarksville,TN,40092,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,17317,"Clarksville, TN--KY","200,947",29,MB,DO,18,1.20,,0.09,,82.81,,6,,13.70,,0.00,,"519,200",,"5,910,734",,"431,425",,"71,374",,0,,"1,196,293",
Southeast Area Transit District,Preston,CT,10040,Independent Public Agency or Authority of Transit Service,Full Reporter,64135,"Norwich--New London, CT","167,432",29,MB,DO,17,0.61,,0.07,,98.09,,12,,8.39,,1.42,,"478,884",,"6,550,430",,"780,748",,"66,782",,"4,614,221",,"1,029,911",
"Mountain Area Regional Transit Authority, dba: Mountain Transit",Big Bear Lake,CA,91012,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,MB,DO,17,0.47,,0.09,,91.08,,18,,5.05,,0.00,,"270,609",,"2,882,009",,"570,349",,"31,643",,0,,"478,418",
Tri River Transit,West Hamlin,WV,30183,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,DR,DO,17,0.37,,0.01,,55.40,,1,,69.80,,0.00,,"7,600",,"1,447,373",,"20,736",,"26,124",,0,,"477,333",
"Cedar Valley Services, Inc.",Austin,MN,50450,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,MB,DO,15,1.64,,0.10,,65.60,,4,,15.63,,0.00,,"164,766",,"1,569,704",,"100,405",,"23,929",,0,,"267,907",
"Cedar Valley Services, Inc.",Austin,MN,50450,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,DR,DO,14,1.63,,0.10,,52.44,,3,,16.37,,0.00,,"184,865",,"1,855,890",,"113,377",,"35,393",,0,,"386,411",
Tri River Transit,West Hamlin,WV,30183,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,MB,DO,12,0.83,,0.05,,54.30,,3,,15.75,,0.00,,"46,367",,"881,237",,"55,937",,"16,230",,0,,"420,437",
"City of Clarksville, dba: Clarksville Transit System",Clarksville,TN,40092,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,17317,"Clarksville, TN--KY","200,947",29,DR,DO,11,2.39,,0.05,,72.11,,2,,45.62,,0.00,,"85,845",,"1,640,764",,"35,965",,"22,754",,0,,"360,673",
Waccamaw Regional Transportation Authority,Conway,SC,40102,Independent Public Agency or Authority of Transit Service,Reduced Reporter,60895,"Myrtle Beach--North Myrtle Beach, SC--NC","298,954",29,DR,DO,11,0.00,,0.00,,103.27,,2,,67.48,,0.00,,31,,"1,639,129",,"24,289",,"15,873",,0,,"314,858",
Wiregrass Transit Authority,Dothan,AL,40103,"MPO, COG or Other Planning Agency",Reduced Reporter,24472,"Dothan, AL","72,423",29,DR,PT,11,0.00,,0.00,,53.17,,1,,48.81,,0.00,,0,,"1,314,180",,"26,925",,"24,716",,0,,"772,888",
"City of Santa Fe, dba: Santa Fe Trails",,NM,60077,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79363,"Santa Fe, NM","94,241",29,DR,DO,11,2.19,,0.03,,140.84,,2,,79.75,,20.66,,"60,946",,"2,223,497",,"27,881",,"15,787",,"107,617",,"189,060",
Marquette County Transit Authority,Marquette,MI,50427,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,MB,DO,11,0.41,,0.02,,24.00,,1,,16.33,,0.00,,"22,576",,"905,650",,"55,472",,"37,740",,0,,"197,567",
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze",Bluffton,SC,41092,Independent Public Agency or Authority of Transit Service,Reduced Reporter,8601,"Bluffton East--Hilton Head Island, SC","71,824",29,DR,DO,10,2.59,,0.05,,89.75,,2,,47.87,,0.00,,"52,737",,"976,081",,"20,390",,"10,875",,0,,"214,808",
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze",Bluffton,SC,41092,Independent Public Agency or Authority of Transit Service,Reduced Reporter,8601,"Bluffton East--Hilton Head Island, SC","71,824",29,MB,DO,10,0.03,,0.00,,75.49,,8,,9.91,,0.00,,"2,927",,"905,093",,"91,361",,"11,990",,0,,"157,689",
Wiregrass Transit Authority,Dothan,AL,40103,"MPO, COG or Other Planning Agency",Reduced Reporter,24472,"Dothan, AL","72,423",29,DR,DO,10,1.62,,0.08,,54.80,,3,,20.65,,0.00,,"75,541",,"960,608",,"46,512",,"17,528",,0,,"197,375",
City of Oxford,Oxford,MS,41052,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,29,DR,DO,1,0.00,,0.00,,60.27,,5,,12.74,,0.00,,0,,"74,982",,"5,886",,"1,244",,0,,"23,856",
"Prairie Five CAC, Inc.",Montevideo,MN,50334,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,MB,DO,0,0.00,,0.00,,0.00,,0,,0.00,,0.00,,0,,0,,0,,0,,0,,0,
"City of Tyler, dba: Tyler Transit",Tyler,TX,60089,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,89326,"Tyler, TX","131,028",28,DR,DO,8,1.82,,0.06,,91.23,,3,,30.43,,0.00,,"52,309",,"876,951",,"28,818",,"9,613",,0,,"135,035",
Northwest Alabama Council of Local Governments,Muscle Shoals,AL,40068,"MPO, COG or Other Planning Agency",Full Reporter,29953,"Florence, AL","78,925",28,DR,TX,7,0.00,,0.00,,40.48,,4,,10.37,,1.22,,0,,"50,800",,"4,900",,"1,255",,"41,657",,"26,485",
Central Community Transit,Willmar,MN,55314,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,MB,DO,7,5.42,,0.22,,83.06,,3,,24.39,,0.00,,"120,745",,"543,063",,"22,266",,"6,538",,0,,"82,981",
Cache Valley Transit District,Logan,UT,80028,Independent Public Agency or Authority of Transit Service,Full Reporter,50959,"Logan, UT","113,927",28,DR,DO,7,0.00,,0.00,,88.18,,2,,35.57,,8.42,,0,,"884,046",,"24,854",,"10,025",,"105,039",,"121,015",
"City of Tyler, dba: Tyler Transit",Tyler,TX,60089,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,89326,"Tyler, TX","131,028",28,MB,DO,6,0.60,,0.03,,87.38,,5,,17.34,,0.00,,"71,515",,"2,082,525",,"120,079",,"23,834",,0,,"383,296",
Monroe County Transportation  Authority,Swiftwater,PA,30137,Independent Public Agency or Authority of Transit Service,Full Reporter,42,Pennsylvania Non-UZA,"4,196,634",28,MB,DO,6,1.62,,0.10,,149.50,,10,,15.52,,2.28,,"346,902",,"3,325,078",,"214,292",,"22,242",,"1,456,558",,"384,696",
Southern Teton Area Rapid Transit,Jackson,WY,80188,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,DR,DO,5,0.00,,0.00,,47.27,,6,,8.48,,0.00,,0,,"683,702",,"80,622",,"14,465",,0,,"125,658",
East Alabama Regional Planning and Development Commission,Anniston,AL,40064,"MPO, COG or Other Planning Agency",Reduced Reporter,2629,"Anniston--Oxford, AL","78,302",28,MB,PT,4,0.00,,0.00,,48.47,,8,,6.17,,0.00,,165,,"647,462",,"104,898",,"13,359",,0,,"199,199",
New York City Economic Development Corporation,New York,NY,22930,Private-Non-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",28,MB,PT,4,0.00,,0.00,,54.81,,4,,13.20,,5.78,,0,,"1,066,688",,"80,780",,"19,461",,"184,702",,"112,170",
University of Iowa,Iowa City,IA,70019,University,Full Reporter,41590,"Iowa City, IA","126,810",28,DR,DO,3,0.00,,0.00,,109.48,,1,,93.10,,25.72,,0,,"483,446",,"5,193",,"4,416",,"18,794",,"22,428",
Gulf Coast Transit District,Texas City,TX,60275,Independent Public Agency or Authority of Transit Service,Reduced Reporter,32491,"Galveston--Texas City, TX","191,863",28,CB,DO,3,0.45,,0.02,,210.19,,9,,23.00,,0.00,,"27,471",,"1,405,954",,"61,125",,"6,689",,0,,"188,960",
Colorado Valley Transit  District,Columbus,TX,60238,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,DR,DO,28,0.40,,0.02,,54.94,,2,,24.04,,0.00,,"39,264",,"2,373,162",,"98,709",,"43,192",,0,,"598,130",
"Downeast Community Partners, Inc.",Ellsworth,ME,11161,Private-Non-Profit Corporation,Rural Reporter,,,,28,DR,DO,28,0.09,,0.00,,110.83,,1,,92.77,,0.00,,"3,114",,"3,055,152",,"32,934",,"27,565",,0,,"616,664",
Northeast KY Area Development Council,Olive Hill,KY,41094,Private-Non-Profit Corporation,Rural Reporter,,,,28,DR,DO,28,0.57,,0.03,,28.00,,1,,21.88,,0.00,,"33,186",,"1,283,539",,"58,662",,"45,848",,0,,"684,029",
"North Central Alabama Regional Council of Governments, dba: NARCOG Regional Transit Agency",Decatur,AL,40265,"MPO, COG or Other Planning Agency",Full Reporter,22690,"Decatur, AL","60,458",28,DR,DO,28,1.04,,0.06,,78.63,,5,,16.82,,3.21,,"90,802",,"1,469,505",,"87,351",,"18,688",,"458,054",,"265,983",
"Livingston County Board of Commissioners, dba: Livingston Essential Transportation Service",Howell,MI,50180,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,83332,"South Lyon--Hamburg--Genoa, MI","145,963",28,DR,DO,28,2.70,,0.08,,103.52,,3,,35.73,,0.00,,"320,404",,"4,248,126",,"118,880",,"41,038",,0,,"1,063,846",
South Jersey Transportation Authority,Blackwood,NJ,20200,Independent Public Agency or Authority of Transit Service,Reduced Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",28,MB,DO,28,0.00,,0.00,,72.21,,3,,23.27,,0.00,,0,,"2,771,718",,"119,097",,"38,385",,0,,"601,171",
Henry County,Mcdonough,GA,40181,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,3817,"Atlanta, GA","5,100,112",28,DR,DO,28,1.59,,0.03,,82.86,,1,,62.00,,0.00,,"70,695",,"2,757,619",,"44,477",,"33,281",,0,,"451,855",
"Florida Department of Transportation, District 1 Office",Tallahassee,FL,40271,State Government Unit or Department of Transportation,Reduced Reporter,13510,"Cape Coral, FL","599,242",28,VP,PT,28,0.98,,1.04,,19.28,,20,,0.95,,0.00,,"325,223",,"313,087",,"330,512",,"16,238",,0,,"524,680",
Easy Lift Transportation,Goleta,CA,90243,Private-Non-Profit Corporation,Reduced Reporter,79282,"Santa Barbara, CA","202,197",28,DR,DO,28,20.20,,0.43,,107.09,,2,,47.39,,0.00,,"1,146,208",,"2,688,738",,"56,737",,"25,107",,0,,"452,742",
"Big Five Community Services, Inc.",Durant,OK,60258,Private-Non-Profit Corporation,Rural Reporter,,,,28,DR,DO,28,0.49,,0.02,,40.47,,2,,24.33,,0.00,,"32,405",,"1,600,047",,"65,770",,"39,535",,0,,"418,869",
"Town of Oro Valley , dba: Transit Service Division",Tucson,AZ,90191,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,88732,"Tucson, AZ","875,441",28,DR,DO,28,0.00,,0.00,,56.61,,2,,30.65,,0.00,,0,,"1,716,226",,"56,001",,"30,318",,0,,"465,705",
Rainbow Rider Transit Board,Lowry,MN,50231,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,DR,DO,26,5.14,,0.14,,77.59,,2,,35.61,,0.00,,"488,535",,"3,385,707",,"95,082",,"43,635",,0,,"547,051",
University of Iowa,Iowa City,IA,70019,University,Full Reporter,41590,"Iowa City, IA","126,810",28,MB,DO,25,0.00,,0.00,,57.73,,36,,1.59,,1.14,,0,,"3,751,241",,"2,353,345",,"64,980",,"3,301,559",,"625,508",
New York City Economic Development Corporation,New York,NY,22930,Private-Non-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",28,FB,PT,24,2.56,,0.22,,724.22,,62,,11.77,,2.64,,"13,739,917",,"63,264,890",,"5,373,392",,"87,356",,"24,009,812",,"942,849",
East Alabama Regional Planning and Development Commission,Anniston,AL,40064,"MPO, COG or Other Planning Agency",Reduced Reporter,2629,"Anniston--Oxford, AL","78,302",28,DR,PT,24,1.17,,0.06,,53.62,,3,,19.82,,0.00,,"76,596",,"1,297,055",,"65,445",,"24,190",,0,,"291,025",
Monroe County Transportation  Authority,Swiftwater,PA,30137,Independent Public Agency or Authority of Transit Service,Full Reporter,42,Pennsylvania Non-UZA,"4,196,634",28,DR,DO,22,5.65,,0.14,,85.12,,2,,40.25,,2.42,,"326,738",,"2,326,981",,"57,814",,"27,338",,"961,953",,"652,785",
Central Community Transit,Willmar,MN,55314,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,DR,DO,21,3.13,,0.24,,62.99,,5,,12.91,,0.00,,"621,500",,"2,563,142",,"198,486",,"40,694",,0,,"697,891",
Cache Valley Transit District,Logan,UT,80028,Independent Public Agency or Authority of Transit Service,Full Reporter,50959,"Logan, UT","113,927",28,MB,DO,21,0.00,,0.00,,110.71,,13,,8.31,,2.57,,0,,"7,828,161",,"942,317",,"70,710",,"3,041,167",,"1,144,494",
Northwest Alabama Council of Local Governments,Muscle Shoals,AL,40068,"MPO, COG or Other Planning Agency",Full Reporter,29953,"Florence, AL","78,925",28,DR,DO,21,4.62,,0.18,,61.69,,2,,25.16,,2.52,,"256,808",,"1,398,395",,"55,586",,"22,667",,"555,997",,"330,536",
Southern Teton Area Rapid Transit,Jackson,WY,80188,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,MB,DO,20,0.47,,0.06,,110.37,,15,,7.29,,0.00,,"291,888",,"4,491,772",,"616,245",,"40,697",,0,,"791,924",
Rainbow Rider Transit Board,Lowry,MN,50231,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,MB,DO,2,0.21,,0.07,,6.63,,2,,2.83,,0.00,,"7,266",,"97,020",,"34,342",,"14,624",,0,,"179,041",
"City of Abilene , dba: CityLink Transit",Abilene,TX,60040,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,280,"Abilene, TX","118,138",28,DR,PT,2,2.13,,0.16,,30.57,,2,,13.41,,0.00,,"12,358",,"77,678",,"5,792",,"2,541",,0,,"44,423",
Dorchester County Council,Cambridge,MD,30161,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,28,DR,DO,18,1.37,,0.12,,39.85,,3,,11.78,,0.00,,"34,117",,"293,315",,"24,901",,"7,360",,0,,"147,199",
"City of Billings, dba: Metropolitan Transit System",Billings,MT,80004,"City, County or Local Government Unit or Department of Transportation",Full Reporter,7705,"Billings, MT","128,787",28,MB,DO,16,0.98,,0.07,,106.51,,7,,14.66,,3.64,,"295,640",,"4,426,230",,"302,015",,"41,557",,"1,217,464",,"599,695",
Connecticut Department of Transportation,Newington,CT,10102,State Government Unit or Department of Transportation,Full Reporter,37243,"Hartford, CT","977,158",28,CB,PT,16,0.63,,0.02,,104.34,,4,,27.30,,1.16,,"94,802",,"4,099,321",,"150,161",,"39,290",,"3,529,657",,"668,052",
"City of Abilene , dba: CityLink Transit",Abilene,TX,60040,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,280,"Abilene, TX","118,138",28,DR,DO,16,2.93,,0.08,,108.45,,3,,38.09,,0.00,,"216,695",,"2,821,341",,"74,073",,"26,014",,0,,"371,285",
Mason County Transportation Authority,Shelton,WA,00315,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,DR,DO,16,0.00,,0.00,,224.62,,4,,62.38,,0.00,,0,,"2,198,846",,"35,249",,"9,789",,0,,"200,101",
Fairmont Marion County Transit Authority,Fairmont,WV,30149,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,DR,DO,14,9.64,,0.23,,118.62,,3,,42.69,,0.00,,"276,562",,"1,225,127",,"28,700",,"10,328",,0,,"273,118",
"City of Jackson, MS, dba: JTRAN-City of Jackson, MS",Jackson,MS,40015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,42211,"Jackson, MS","347,693",28,MB,PT,14,0.83,,0.07,,113.07,,9,,12.52,,6.91,,"301,421",,"4,558,897",,"364,210",,"40,321",,"659,285",,"614,360",
Regional Transportation Authority of Pima County,Tucson,AZ,91122,Independent Public Agency or Authority of Transit Service,Reduced Reporter,88732,"Tucson, AZ","875,441",28,MB,PT,14,0.14,,0.01,,63.02,,3,,21.30,,0.00,,"15,869",,"2,445,095",,"114,767",,"38,796",,0,,"772,240",
Fairmont Marion County Transit Authority,Fairmont,WV,30149,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,MB,DO,14,0.75,,0.06,,90.49,,7,,12.90,,0.00,,"90,468",,"1,558,199",,"120,826",,"17,219",,0,,"267,630",
"City of Tyler, dba: Tyler Transit",Tyler,TX,60089,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,89326,"Tyler, TX","131,028",28,DR,TX,14,0.82,,0.03,,76.48,,3,,28.28,,0.00,,"14,572",,"499,693",,"17,667",,"6,534",,0,,"110,034",
"City of Jackson, MS, dba: JTRAN-City of Jackson, MS",Jackson,MS,40015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,42211,"Jackson, MS","347,693",28,DR,PT,14,1.83,,0.02,,189.84,,2,,77.78,,12.89,,"91,787",,"3,905,795",,"50,219",,"20,574",,"303,104",,"301,408",
Regional Transportation Authority of Pima County,Tucson,AZ,91122,Independent Public Agency or Authority of Transit Service,Reduced Reporter,88732,"Tucson, AZ","875,441",28,DR,PT,14,0.00,,0.00,,69.82,,2,,39.22,,0.00,,0,,"3,784,384",,"96,488",,"54,204",,0,,"908,399",
Gulf Coast Transit District,Texas City,TX,60275,Independent Public Agency or Authority of Transit Service,Reduced Reporter,32491,"Galveston--Texas City, TX","191,863",28,MB,DO,13,0.47,,0.02,,128.58,,5,,24.78,,0.00,,"101,047",,"5,282,682",,"213,149",,"41,085",,0,,"816,975",
Connecticut Department of Transportation,Newington,CT,10102,State Government Unit or Department of Transportation,Full Reporter,37243,"Hartford, CT","977,158",28,CR,PT,12,5.38,,0.03,,964.90,,6,,164.05,,5.66,,"879,923",,"26,814,501",,"163,456",,"27,790",,"4,739,134",,"1,187,016",
Gulf Coast Transit District,Texas City,TX,60275,Independent Public Agency or Authority of Transit Service,Reduced Reporter,32491,"Galveston--Texas City, TX","191,863",28,DR,DO,12,0.92,,0.02,,81.19,,2,,46.80,,0.00,,"41,613",,"2,126,971",,"45,451",,"26,196",,0,,"543,114",
Mason County Transportation Authority,Shelton,WA,00315,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,28,MB,DO,12,0.60,,0.02,,202.55,,8,,25.76,,0.00,,"125,100",,"5,335,592",,"207,090",,"26,342",,0,,"485,553",
"City of Billings, dba: Metropolitan Transit System",Billings,MT,80004,"City, County or Local Government Unit or Department of Transportation",Full Reporter,7705,"Billings, MT","128,787",28,DR,DO,12,5.60,,0.12,,140.63,,3,,45.02,,8.05,,"198,541",,"1,597,386",,"35,485",,"11,359",,"198,345",,"148,637",
"City of Abilene , dba: CityLink Transit",Abilene,TX,60040,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,280,"Abilene, TX","118,138",28,MB,DO,10,0.60,,0.06,,84.58,,9,,9.27,,0.00,,"148,166",,"2,283,802",,"246,322",,"27,003",,0,,"338,843",
Dorchester County Council,Cambridge,MD,30161,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,28,MB,DO,10,2.49,,0.17,,53.67,,4,,14.57,,0.00,,"123,023",,"720,865",,"49,491",,"13,432",,0,,"315,005",
"District Three Governmental Cooperative, dba: Mountain Lynx Transit",Marion,VA,30123,Independent Public Agency or Authority of Transit Service,Reduced Reporter,10351,"Bristol, TN--VA","70,638",27,MB,DO,8,0.55,,0.06,,40.81,,5,,9.06,,0.00,,"47,706",,"786,762",,"86,824",,"19,280",,0,,"199,032",
"The County Commissioners of Carroll County, Maryland, dba: Carroll Transit System",Westminster,MD,30092,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,31519,"Frederick, MD","176,456",27,MB,PT,7,1.05,,0.03,,47.20,,1,,36.48,,0.00,,"20,091",,"700,564",,"19,205",,"14,844",,0,,"224,469",
Regional Transportation Authority,Madison,TN,40159,Independent Public Agency or Authority of Transit Service,Full Reporter,61273,"Nashville-Davidson, TN","1,158,642",27,VP,PT,7,3.87,,0.71,,39.27,,7,,5.48,,0.15,,"65,495",,"92,708",,"16,912",,"2,361",,"612,422",,"91,858",
"Davidson County , dba: Davidson County Transportation",Lexington,NC,40131,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,38809,"High Point, NC","167,830",27,MB,DO,7,0.00,,0.00,,90.61,,8,,11.58,,0.00,,62,,"1,108,021",,"95,667",,"12,228",,0,,"154,709",
Regional Transportation Authority,Madison,TN,40159,Independent Public Agency or Authority of Transit Service,Full Reporter,61273,"Nashville-Davidson, TN","1,158,642",27,CR,PT,7,3.72,,0.07,,762.40,,14,,53.99,,3.35,,"294,314",,"4,276,319",,"79,210",,"5,609",,"1,276,082",,"150,174",
Palos Verdes Peninsula Transit Authority,Palos Verdes Peninsula,CA,90287,Independent Public Agency or Authority of Transit Service,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",27,DR,TX,6,6.00,,0.22,,136.67,,5,,26.79,,0.00,,"8,171",,"36,490",,"1,362",,267,,0,,"4,500",
Williamsburg County Transit System,Kingstree,SC,40952,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,27,CB,DO,4,2.49,,0.32,,23.70,,3,,7.89,,0.00,,"94,644",,"300,321",,"38,068",,"12,670",,0,,"168,301",
"Buncombe County, dba: Mountain Mobility",Asheville,NC,40224,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3358,"Asheville, NC","285,776",27,MB,PT,3,0.00,,0.00,,85.24,,3,,32.25,,2.32,,0,,"660,350",,"20,473",,"7,747",,"284,054",,"129,400",
Cadillac/Wexford Transit Authority,Cadillac,MI,50374,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,27,DR,DO,27,0.82,,0.03,,44.51,,2,,25.09,,0.00,,"107,426",,"3,280,205",,"130,726",,"73,701",,0,,"1,194,114",
McLean County,Bloomington,IL,50338,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,27,DR,DO,27,0.01,,0.00,,106.35,,3,,36.99,,0.00,,506,,"2,095,294",,"56,643",,"19,702",,0,,"373,218",
Community Development Inc.,Richton,MS,41044,Private-Non-Profit Corporation,Rural Reporter,,,,27,DR,DO,27,0.05,,0.00,,38.65,,1,,25.81,,0.00,,"3,154",,"1,506,213",,"58,347",,"38,972",,0,,"873,475",
"Area Agency on Aging of Western Arkansas, Inc. (WTS), dba: Western Transit System",Fort Smith,AR,60257,Area Agency on Aging,Rural Reporter,,,,27,DR,DO,27,2.43,,0.05,,71.66,,1,,53.24,,0.00,,"37,002",,"809,452",,"15,204",,"11,295",,0,,"496,849",
Altamont Corridor Express,Stockton,CA,90182,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",27,CR,PT,27,8.26,,0.10,,"1,167.58",,15,,79.73,,1.53,,"2,656,361",,"25,652,940",,"321,752",,"21,971",,"16,820,500",,"867,991",
Greater Lapeer Transportation Authority,Lapeer,MI,50335,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,27,DR,DO,27,3.59,,0.18,,59.85,,3,,19.77,,0.00,,"372,858",,"2,053,349",,"103,845",,"34,308",,0,,"474,285",
