Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Maintenance Facility (Service and Inspection),Heavy Maintenance & Overhaul (Backshop),General Purpose Maintenance Facility/Depot,Vehicle Washing Facility,Vehicle Blow-Down Facility,Vehicle Fueling Facility,Vehicle Testing Facility,Maintenance Facilities,Administrative Office / Sales Office,Revenue Collection Facility,Combined Administrative and Maintenance Facility,"Other, Administrative & Maintenance",Administrative and Other Non-Passenger Facilities,Bus Transfer Center,Elevated Fixed Guideway Station,At-Grade Fixed Guideway Station,Underground Fixed Guideway Station,Simple At-Grade Platform Station,Exclusive Grade-Separated Platform Station,Ferryboat Terminal,Passenger Stations and Terminals,Surface Parking Lot,Parking Structure,"Other, Passenger or Parking",Parking and Other Passenger Facilities,Total Facilities
Thomas County Transit,Thomasville,GA,41185,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Paulding County,Dallas,GA,41190,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Bleckley County Transit,Cochran,GA,41196,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Ben Hill,Fitzgerald,GA,44937,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"North Georgia Community Action, Inc.",Jasper,GA,44945,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,27,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Southern Georgia Regional Commission, dba: SGRC",Valdosta,GA,44982,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,38,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Greyhound Lines, Inc.",Dallas,TX,60208,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Middle Kentucky River Area Development Council, Inc.",Jackson,KY,40909,Private-Non-Profit Corporation,Rural Reporter,,,,15,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Rural Transit Enterprises Coordinated, Inc.",Mount Vernon,KY,40941,Private-Non-Profit Corporation,Rural Reporter,,,,153,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,5
Bluegrass Community Action Agency,Frankfort,KY,40948,Private-Non-Profit Corporation,Rural Reporter,,,,112,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pennyrile Allied Community Services, Inc.",Hopkinsville,KY,40953,Private-Non-Profit Corporation,Rural Reporter,,,,102,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Licking Valley CAP,Flemingsburg,KY,40971,Private-Non-Profit Corporation,Rural Reporter,,,,57,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Gateway Community Services Organization,West Liberty,KY,40972,Private-Non-Profit Corporation,Rural Reporter,,,,1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"KY River Foothills Development Council, Inc.",Richmond,KY,40979,Private-Non-Profit Corporation,Rural Reporter,,,,29,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Owen County Fiscal Court,Owenton,KY,40997,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,13,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Sandy Valley Transportation Services,Prestonsburg,KY,41006,Private-Non-Profit Corporation,Rural Reporter,,,,79,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
Paducah Transit Authority,Paducah,KY,41013,Independent Public Agency or Authority of Transit Service,Rural Reporter,66781,"Paducah, KY--IL","50,833",60,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Daniel Boone Development Council,Manchester,KY,41023,Private-Non-Profit Corporation,Rural Reporter,,,,71,1,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
Maysville Transit System,Maysville,KY,41032,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Murray-Calloway County Transit Authority,Murray,KY,41053,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Glasgow Transit System,Glasgow,KY,41083,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Louisville WHEELS Transportation, Inc",Louisville,KY,41090,Private-Non-Profit Corporation,Rural Reporter,51755,"Louisville/Jefferson County, KY--IN","974,397",36,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Northeast KY Area Development Council,Olive Hill,KY,41094,Private-Non-Profit Corporation,Rural Reporter,,,,28,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Harlan County Community Action Agency, Inc.",Harlan,KY,41098,Private-Non-Profit Corporation,Rural Reporter,,,,43,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Frankfort Transit System,Frankfort,KY,41120,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,25,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Central Kentucky Community Action Council,Lebanon,KY,41165,Private-Non-Profit Corporation,Rural Reporter,,,,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Leslie, Knott, Letcher & Perry Community Action",Hazard,KY,41178,Private-Non-Profit Corporation,Rural Reporter,,,,43,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Fulton County Transit Authority,Fulton,KY,41179,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,50,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Carroll County Wellness Transit,Carrollton,KY,44939,Private-Non-Profit Corporation,Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Scottsville Transit,Scottsville,KY,44944,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"South Central Community Action Agency, Inc.",Mendenhall,MS,40922,Private-Non-Profit Corporation,Rural Reporter,,,,15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Delta Bus Lines,Clarksdale,MS,40935,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Hinds County Human Resource Agency,Jackson,MS,40955,Private-Non-Profit Corporation,Rural Reporter,,,,13,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
N-Route,Vicksburg,MS,40957,Private-Non-Profit Corporation,Rural Reporter,,,,12,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Madison County Citizens Services Agency,Canton,MS,40969,Private-Non-Profit Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Copiah County Human Resource Agency,Hazlehurst,MS,40987,Private-Non-Profit Corporation,Rural Reporter,,,,9,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Mississippi Valley State University Mass Transit,Itta Bena,MS,41024,University,Rural Reporter,,,,11,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
SMART Starkville-MSU Area Rapid Transit,Mississippi State,MS,41030,University,Rural Reporter,,,,34,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Northeast Mississippi Community Services,Booneville,MS,41039,Private-Non-Profit Corporation,Rural Reporter,,,,43,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Community Development Inc.,Richton,MS,41044,Private-Non-Profit Corporation,Rural Reporter,,,,27,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Five County Child Development Program, Inc.",Prentiss,MS,41051,Private-Non-Profit Corporation,Rural Reporter,,,,8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Oxford,Oxford,MS,41052,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,29,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Claiborne County Human Resource Agency,Port Gibson,MS,41096,Private-Non-Profit Corporation,Rural Reporter,,,,24,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Natchez Transit System,Natchez,MS,41121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Aaron E. Henry Community Health Services Center,In",Clarksdale,MS,41183,Private-Non-Profit Corporation,Rural Reporter,,,,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bolivar County Council On Aging, Inc.",Cleveland,MS,41192,Private-Non-Profit Corporation,Rural Reporter,,,,43,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"DJ Transit, Inc.",Laurel,MS,44928,Private-Non-Profit Corporation,Rural Reporter,,,,15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Mount Zion Economic Community Center, Inc.",Summit,MS,44946,Private-Non-Profit Corporation,Rural Reporter,,,,13,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Noxubee County Human Resource Agency,Macon,MS,44948,Other Publicly-Owned or Privately Chartered Corporation,Rural Reporter,,,,9,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Sunflower-Humphreys Counties Progress, Inc.",,MS,44978,Private-Non-Profit Corporation,Rural Reporter,,,,11,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Central Mississippi, Incorporated",Winona,MS,44979,Private-Non-Profit Corporation,Rural Reporter,,,,5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Philadelphia Transit,Philadelphia,MS,44983,Private-Non-Profit Corporation,Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Graham County,Robbinsville,NC,40913,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Duplin County,Kenansville,NC,40915,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Wilkes Transportation Authority,Wilkesboro,NC,40918,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,18,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Randolph County Senior Adult Association Inc.,Asheboro,NC,40921,Area Agency on Aging,Rural Reporter,,,,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rockingham County Council on Aging,Reidsville,NC,40929,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Sampson County,Clinton,NC,40933,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Polk County Transportation Authority,Columbus,NC,40934,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pender Adult Services, Inc.",Burgaw,NC,40938,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Lincoln County,Lincolnton,NC,40942,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,16,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Johnston Co. Council on Aging Inc.,Smithfield,NC,40943,Area Agency on Aging,Rural Reporter,17426,"Clayton, NC","51,898",25,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Carteret County,Beaufort,NC,40944,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,12,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Gates County,Gatesville,NC,40947,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Washington County,Plymouth,NC,40959,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Madison County Transportation Authority,Marshall,NC,40976,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rutherford County,Rutherfordton,NC,40983,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Western Carolina Community Action,Hendersonville,NC,40984,Private-Non-Profit Corporation,Rural Reporter,3358,"Asheville, NC","280,648",6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Martin County,Williamston,NC,40990,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Caswell County,Yanceyville,NC,40996,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Chatham Transit Network,Pittsboro,NC,41004,Private-Non-Profit Corporation,Rural Reporter,,,,18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Person County,Roxboro,NC,41010,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Trolley's Inc, dba: Sunway Charters",Charlotte,NC,41025,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Scotland County,Laurinburg,NC,41028,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ashe County Transportation Authority Inc,West Jefferson,NC,41029,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Greene County,Snow Hill,NC,41031,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Beaufort County Developmental Center, Inc.",Washington,NC,41034,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Hyde County Private Non-Profit Transp. Corp. Inc.,Swanquarter,NC,41038,Private-Non-Profit Corporation,Rural Reporter,,,,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mitchell County Transportation Authority,Bakersville,NC,41043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Dare County,Manteo,NC,41045,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Kerr Area Transportation Authority,Henderson,NC,41048,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,41,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brunswick Transit System Inc.,Shallotte,NC,41058,Private-Non-Profit Corporation,Rural Reporter,,,,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Moore County,Carthage,NC,41064,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,69517,"Pinehurst--Southern Pines, NC","50,319",10,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Swain County  Focal Point on Aging Inc,Bryson City,NC,41066,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Cherokee County,Murphy,NC,41069,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Transp. Administration of Cleveland County. Inc,Shelby,NC,41082,Private-Non-Profit Corporation,Rural Reporter,,,,18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Albemarle Regional Health Services,Elizabeth City,NC,41111,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,16,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Anson County,Wadesboro,NC,41113,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Transylvania County,Brevard,NC,41115,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Harnett County,Lillington,NC,41119,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,14,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Richmond Interagency Transportation Inc.,Hamlet,NC,41124,Private-Non-Profit Corporation,Rural Reporter,,,,9,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
AppalCart,Boone,NC,41127,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,36,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Avery County Transportation Authority,Newland,NC,41130,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Choanoke Public Transportation Authority,Rich Square,NC,41131,Private-Non-Profit Corporation,Rural Reporter,,,,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Yadkin Valley Economic Development District, Inc.",Boonville,NC,41134,Private-Non-Profit Corporation,Rural Reporter,,,,31,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Alleghany County,Sparta,NC,41137,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Yancey County Transportation Authority,Burnsville,NC,41143,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Lee County,Sanford,NC,41150,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Clay County,Hayesville,NC,41160,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lenoir County,Kinston,NC,41162,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,13,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Bladen County,Elizabethtown,NC,41166,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Jackson County,Sylva,NC,41167,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Columbus County,Whiteville,NC,41172,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Stanly County,Albemarle,NC,41181,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Robeson County,Lumberton,NC,41187,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,11,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Macon County,Franklin,NC,41191,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Wilson, NC, dba: Wilson Transit System",Wilson,NC,44931,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,23,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
County of Hyde,Swanquarter,NC,44947,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
North Carolina Department of Transportation -- Ferry Division,Raleigh,NC,44958,State Government Unit or Department of Transportation,Rural Reporter,,,,17,1,0,10,0,0,0,0,11,14,0,0,0,14,0,0,0,0,0,0,10,10,0,0,0,0,35
McDowell Transit,Marion,NC,44977,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Greyhound Lines, Inc.",Dallas,TX,60208,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Aiken Area Council on Aging, Inc.",Aiken,SC,40235,Area Agency on Aging,Rural Reporter,85708,"Sumter, SC","73,107",23,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Williamsburg County Transit System,Kingstree,SC,40952,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bamberg County Office On Aging,Bamberg,SC,40974,Area Agency on Aging,Rural Reporter,,,,26,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Edgefield County Senior Citizens Council,,SC,40988,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Southeastern Stages, Inc.",Atlanta,GA,41001,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Generations Unlimited,Barnwell,SC,41002,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,16,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Fairfield County Transit System,Winnsboro,SC,41003,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,14,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Newberry County Council on Aging,Newberry,SC,41022,Area Agency on Aging,Rural Reporter,,,,19,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
McCormick County Senior Center,Mccormick,SC,41042,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Services Incorporated of Chester County,Chester,SC,41146,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Seneca,Seneca,SC,41174,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3
SCDOT Office of Public Transit,Columbia,SC,41197,State Government Unit or Department of Transportation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Cross County Connection,Orangeburg,SC,44934,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2
"Greyhound Lines, Inc.",Dallas,TX,60208,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
South Central Tennessee Development District,Mt Pleasant,TN,40954,Independent Public Agency or Authority of Transit Service,Rural Reporter,84088,"Spring Hill, TN","60,309",126,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Upper-Cumberland Human Resource Agency,Cookeville,TN,40978,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,98,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Southeast Tennessee Human Resource Agency-Rural Division,Dunlap,TN,40989,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,65,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
Delta Human Resource Agency,Covington,TN,41020,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,53,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Gatlinburg,Gatlinburg,TN,41102,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Northwest Tennessee Human Resource Agency,Martin,TN,41106,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Pigeon Forge Mass Transit,Pigeon Forge,TN,41136,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,16,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3
Southwest  Human Resource Agency,Henderson,TN,41151,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,34,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Municipality of Utuado,Utuado,PR,40991,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Municipality of Jayuya,Jayuya,PR,44941,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Municipality of Coamo,Coamo,PR,44942,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Municipality of Vieques,Vieques,PR,44943,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
