Agency,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees
Huntingdon-Bedford-Fulton Area Agency on Aging,26,0,,,,,,,,,,,,,,,,,,,
"Huntington County Council on Aging , dba: Huntington Area Transportation Service",15,0,,,,,,,,,,,,,,,,,,,
Huron County Transit,10,0,,,,,,,,,,,,,,,,,,,
Huron Transit Corporation,46,0,,,,,,,,,,,,,,,,,,,
"Hyannis Harbor Tours, Inc.",4,162994,210049.0,394.0,341.28,,,,,,,,,,,11239.0,Hyannis,MA,"Barnstable Town, MA",,235.0
Hydaburg Cooperative Association,2,0,,,0.0,,,,,,,,,,,,,,,,
Hyde County Private Non-Profit Transp. Corp. Inc.,5,0,,,,,,,,,,,,,,,,,,,
Iberville Sheriff's Office,7,0,,,,,,,,,,,,,,,,,,,
Imperial County Transportation Commission,46,1134098,179857.0,425.0,19.35,143615.0,87328.0,0.0,0.0,0.0,0.0,0.0,0.0,230943.0,0.0,,,,,,
"Inca Community Services, Inc.",48,0,,,,,,,,,,,,,,,,,,,
Incorporated County of Los Alamos,36,0,,,,,,,,,,,,,,,,,,,
"Independence, Inc.",4,0,,,29.92,,,,,,,,,,,,,,,,
Indian River County,54,1355287,163662.0,217.0,106.1,,,,,,,,,,,,,,,,
"Indiana County Transit Authority, dba: IndiGO",38,0,537169.0,1433.0,,,,,,,,,,,,,,,,,
Indianapolis and Marion County Public Transportation,636,10425437,969466.0,396.0,722.55,1366576.0,243950.0,0.0,0.0,0.0,0.0,0.0,3053309.0,1610526.0,3053309.0,50050.0,Indianapolis,IN,"Indianapolis, IN",,720.0
Inter-Island Ferry Authority,1,0,,,,,,,,,,,,,,,,,,,
Intercity Transit,960,6046657,198000.0,101.0,106.21,583748.0,137289.0,85100.0,0.0,0.0,0.0,0.0,0.0,806137.0,0.0,19.0,Olympia,WA,"Olympia--Lacey, WA",,421.99
Interurban Transit Authority,7,0,,,,,,,,,,,,,,,,,,,
"Interurban Transit Partnership, dba: The Rapid",925,7813503,621711.0,155.0,274.36,463370.0,43107.0,345145.0,1000422.0,0.0,0.0,0.0,0.0,1852044.0,0.0,50033.0,Grand Rapids,MI,"Grand Rapids, MI",,334.55
Ionia Dial-A-Ride,8,0,,,,,,,,,,,,,,,,,,,
Iosco Transit Corporation,6,0,,,,,,,,,,,,,,,,,,,
Iowa Northland Regional Council of Governments,13,0,,,,,,,,,,,,,,,,,,,
Isabella County Transportation Commission,78,0,,,,,,,,,,,,,,,,,,,
Island Transit,156,0,,,,,,,,,,,,,,,,,,,
Isle au Haut Boat Services,2,0,,,,,,,,,,,,,,,,,,,
"JAUNT, Inc.",128,1463398,273354.0,2719.0,36.87,0.0,212701.0,0.0,0.0,0.0,0.0,0.0,206.0,212701.0,206.0,30045.0,Charlottesville,VA,"Charlottesville, VA",,110.0
Jackson County,20,0,,,,,,,,,,,,,,,,,,,
Jackson County Council on Aging,8,0,,,,,,,,,,,,,,,,,,,
Jackson County Mass Transit District,19,402022,59677.0,584.0,0.0,3243.0,55297.0,0.0,0.0,0.0,0.0,0.0,0.0,58540.0,0.0,50204.0,Carbondale,IL,Illinois Non-UZA,,27.0
"Jackson County Transportation, Inc.",25,0,105192.0,58.0,,,,,,,,,,,,,,,,,
Jackson Transit Authority,34,698828,68114.0,48.0,47.74,87388.0,36524.0,0.0,0.0,0.0,0.0,0.0,0.0,123912.0,0.0,40057.0,Jackson,TN,"Jackson, TN",,34.0
Jacksonville Transportation Authority,1248,11593258,1237843.0,1366.0,573.27,947760.0,541268.0,0.0,1350231.0,0.0,0.0,815770.0,29225.0,2839259.0,844995.0,40040.0,Jacksonville,FL,"Jacksonville, FL",,736.0
"Jalbert Leasing, Inc. , dba: C&J Bus Lines",16,0,536001.0,2449.0,114.35,,,,,,,,,,,,,,,,
"James River Senior Citizens Center, Inc.",8,0,,,,,,,,,,,,,,,,,,,
Jefferson County Service Organization,6,0,,,,,,,,,,,,,,,,,,,
Jefferson County Transit,7,0,,,,,,,,,,,,,,,,,,,
Jefferson Davis Council on Aging,6,0,,,,,,,,,,,,,,,,,,,
"Jefferson Parish, dba: Jefferson Transit",96,2391177,440781.0,94.0,270.27,0.0,0.0,110323.0,0.0,414008.0,0.0,0.0,0.0,524331.0,0.0,,,,,,
Jefferson Transit,20,0,,,,,,,,,,,,,,,,,,,
Jenkins County Transit,2,0,,,,,,,,,,,,,,,,,,,
Jersey County,15,0,,,,,,,,,,,,,,,,,,,
"Jo Daviess County, dba: Jo Daviess County Transit",14,0,,,,,,,,,,,,,,,,,,,
"Johnson County Kansas, dba: Johnson County Transit",312,2242263,384054.0,141.0,714.1,234799.0,55336.0,0.0,116586.0,0.0,0.0,0.0,0.0,406721.0,0.0,,,,,,
Johnston Co. Council on Aging Inc.,25,0,,,36.26,,,,,,,,,,,,,,,,
Jones County Transit,3,0,,,,,,,,,,,,,,,,,,,
"Josephine County, dba: Josephine Community Transit",42,0,48000.0,80.0,30.42,,,,,,,,,,,,,,,,
"KI BOIS Community Action Foundation, Inc.",180,0,,,,,,,,,,,,,,,,,,,
"KY River Foothills Development Council, Inc.",58,0,,,,,,,,,,,,,,,,,,,
Kaibab Band of Paiute Indians,9,0,,,0.0,,,,,,,,,,,,,,,,
Kalispel Tribe of Indians,1,0,,,0.0,,,,,,,,,,,,,,,,
Kalkaska Public Transit Authority,72,0,160248.0,724.0,,,,,,,,,,,,,,,,,
Kanabec County,5,0,,,,,,,,,,,,,,,,,,,
Kanawha Valley Regional Transportation Authority,88,2549972,178281.0,902.0,92.92,312972.0,90030.0,0.0,0.0,0.0,0.0,0.0,0.0,403002.0,0.0,30001.0,Charleston,WV,"Charleston, WV",,141.0
"Kankakee County, dba: SHOW BUS Public Transportation, NFP",10,0,,,,,,,,,,,,,,,,,,,
Kankakee-Iroquois Regional Planning Commission,18,0,,,,,,,,,,,,,,,,,,,
Kansas City Area Transportation Authority,1272,7816455,621956.0,459.0,714.1,524414.0,196088.0,0.0,1322148.0,0.0,0.0,0.0,6026.0,2042650.0,6026.0,70005.0,Kansas City,MO,"Kansas City, MO--KS",,666.0
"Kansas City, City of Missouri, dba: Kansas City Streetcar",4,127968,11953.0,2.0,714.1,0.0,0.0,0.0,0.0,0.0,0.0,987769.0,0.0,0.0,987769.0,,,,,,
Kaser Bus Service,2,0,4724.0,75.0,3248.12,,,,,,,,,,,,,,,,
Kenaitze Indian Tribe,7,0,,,0.0,,,,,,,,,,,,,,,,
"Kendall County, dba: Kendall Area Transit",15,0,,,,,,,,,,,,,,,,,,,
Kenmare Wheels & Meals,2,0,,,,,,,,,,,,,,,,,,,
Kennebec Valley Community Action Program,92,0,,,,,,,,,,,,,,,,,,,
Kentuckiana Regional Planning and Development Agency,30,414956,1226074.0,2446.0,400.86,0.0,26120.0,0.0,0.0,0.0,64.0,0.0,0.0,26184.0,0.0,40196.0,Louisville,KY,"Louisville/Jefferson County, KY--IN",,2.97
Kern Regional Transit,80,0,,,,,,,,,,,,,,,,,,,
Kerr Area Transportation Authority,82,0,,,,,,,,,,,,,,,,,,,
Ketchikan Gateway Borough,20,0,,,,,,,,,,,,,,,,,,,
Ketchikan Indian Community,3,0,,,0.0,,,,,,,,,,,,,,,,
Key Opportunities,8,0,,,,,,,,,,,,,,,,,,,
Kidder-Emmons County Senior Services,3,0,,,,,,,,,,,,,,,,,,,
Kimball County Public Transit,12,0,,,,,,,,,,,,,,,,,,,
"King County Department of Metro Transit, dba: King County Metro",18261,51015415,2287050.0,2134.0,982.52,7309433.0,1094394.0,274670.0,0.0,575390.0,0.0,16807624.0,970902.0,9253887.0,17778526.0,1.0,Seattle,WA,"Seattle--Tacoma, WA",,
Kingman County Council on Aging,2,0,,,,,,,,,,,,,,,,,,,
Kings County Area Public Transit Agency,174,1506323,70408.0,13.0,18.23,0.0,61631.0,0.0,217127.0,0.0,0.0,0.0,0.0,278758.0,0.0,,,,,,
"Kiowa Tribe, dba: Tribe",7,0,,,0.0,,,,,,,,,,,,,,,,
Kitsap Transit,1090,4712971,254183.0,396.0,146.91,1184511.0,34984.0,200715.0,0.0,499845.0,0.0,0.0,30244.0,1920055.0,30244.0,20.0,Bremerton,WA,"Bremerton, WA",,492.07
Klamath Tribes,14,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Kleberg County Human Services,34,0,,,,,,,,,,,,,,,,,,,
Klickitat County Senior Services,28,0,,,,,,,,,,,,,,,,,,,
Knox Area Transit,30,0,,,,,,,,,,,,,,,,,,,
"Knoxville-Knox County Community Action Committee, dba: Knox County CAC Transit",30,1120137,331989.0,239.0,431.91,0.0,151557.0,0.0,0.0,0.0,0.0,0.0,0.0,151557.0,0.0,40171.0,Knoxville,TN,"Knoxville, TN",,44.0
"Kootenai County, dba: Kootenai County Citylink North",4,0,90132.0,32.0,46.76,,,,,,,,,,,,,,,,
LIFT COMMUNITY ACTION AGENCY INC    LIFT,31,0,,,,,,,,,,,,,,,,,,,
"LINK Hendricks County, dba: Hendricks and Morgan County Connect",23,510914,233398.0,818.0,722.55,0.0,41082.0,0.0,0.0,0.0,0.0,0.0,0.0,41082.0,0.0,50342.0,Danville,IN,"Indianapolis, IN",,69.2
"LaGrange County Council on Aging , dba: LaGrange County Area Transit",9,0,,,,,,,,,,,,,,,,,,,
Lac Courte Oreilles Band of Ojibwe,2,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Lac du Flambeau Band of Lake Superior Chippewa Indians,10,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System",38,1073434,241753.0,49.0,161.2,61257.0,22695.0,0.0,111847.0,0.0,0.0,0.0,0.0,195799.0,0.0,60038.0,Lafayette,LA,"Lafayette, LA",,35.6
Lake Area Bus,2,0,,,,,,,,,,,,,,,,,,,
"Lake County Board of County Commissioners, dba: LakeXpress",66,1419738,97497.0,71.0,86.09,110503.0,124663.0,0.0,0.0,0.0,0.0,0.0,0.0,235166.0,0.0,,,,,,
Lake County Council on Aging,18,0,,,,,,,,,,,,,,,,,,,
"Lake Erie Transportation Commission, dba: Lake Erie Transit",42,519487,94296.0,153.0,35.35,52303.0,3970.0,0.0,0.0,0.0,0.0,0.0,0.0,56273.0,0.0,50522.0,,MI,"Monroe, MI",,78.15
Lake Havasu City Transit,16,0,48200.0,30.0,33.79,,,,,,,,,,,,,,,,
Lake Transit Authority,52,0,,,,,,,,,,,,,,,,,,,
Lakeland Area Mass Transit District,284,2597947,724777.0,77.0,145.93,191263.0,135011.0,0.0,0.0,0.0,0.0,0.0,0.0,326274.0,0.0,40031.0,Lakeland,FL,"Lakeland, FL",,277.0
"Lakeland Bus Lines, Inc.",36,1043075,527906.0,250.0,3248.12,293079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293079.0,0.0,20163.0,Dover,NJ,"New York--Jersey City--Newark, NY--NJ",,111.0
Laketran,288,3884284,232603.0,227.0,713.81,164800.0,80427.0,321051.0,0.0,0.0,0.0,0.0,756569.0,566278.0,756569.0,50117.0,Painesville,OH,"Cleveland, OH",,256.75
Lancaster Co Rural Transit,3,0,,,,,,,,,,,,,,,,,,,
"Lancaster County Council on Aging, dba: Lancaster Area Ride Service",15,0,103966.0,555.0,657.61,,,,,,,,,,,,,,,,
Lancaster Public Transit System,32,0,,,0.0,,,,,,,,,,,,,,,,
"Lander Senior Citizens Center, Inc.",5,0,,,,,,,,,,,,,,,,,,,
Lane Council of Governments,3,0,,,73.49,,,,,,,,,,,,,,,,
Lane County Transportation,1,0,,,,,,,,,,,,,,,,,,,
Lane Transit District,720,3808421,317600.0,482.0,73.49,659744.0,78324.0,0.0,0.0,0.0,0.0,0.0,632534.0,738068.0,632534.0,7.0,Eugene,OR,"Eugene, OR",,312.02
"Laredo Transit Management, Inc., dba: El Metro",88,1978140,254042.0,59.0,64.2,195189.0,54946.0,0.0,328187.0,0.0,0.0,0.0,0.0,578322.0,0.0,60009.0,Laredo,TX,"Laredo, TX",,177.6
Lassen Transit Service Agency,15,0,,,,,,,,,,,,,,,,,,,
Lavaca County,8,0,132500.0,74.0,,,,,,,,,,,,,,,,,
Lawrence County Port Authority,40,0,113532.0,67.0,128.87,,,,,,,,,,,,,,,,
Lee County,14,0,,,,,,,,,,,,,,,,,,,
"Lee County Transit, dba: LeeTran",182,5249669,802178.0,820.0,331.8,536893.0,144689.0,263608.0,0.0,0.0,0.0,0.0,0.0,945190.0,0.0,40028.0,Fort Myers,FL,"Cape Coral, FL",,402.38
"Lee County, dba: Lee-Ogle Transportation System",52,0,,,,,,,,,,,,,,,,,,,
Lee-Russell Council of Governments,50,0,193194.0,609.0,61.16,,,,,,,,,,,,,,,,
Leech Lake Band of Ojibwe,28,0,,,0.0,,,,,,,,,,,,,,,,
Lehigh and Northampton Transportation Authority,354,5790622,533100.0,324.0,261.55,228448.0,173031.0,0.0,742296.0,0.0,0.0,0.0,0.0,1143775.0,0.0,30010.0,Allentown,PA,"Allentown--Bethlehem, PA--NJ",,243.0
Lemhi Ride,3,0,,,,,,,,,,,,,,,,,,,
Lenawee Transportation Corporation,10,0,,,,,,,,,,,,,,,,,,,
Lenoir County,13,0,,,,,,,,,,,,,,,,,,,
"Leprechaun Lines, Inc.",6,0,249175.0,132.0,209.92,,,,,,,,,,,,,,,,
"Leslie, Knott, Letcher & Perry Community Action",43,0,,,,,,,,,,,,,,,,,,,
Levy County Board of County Commissioners,7,0,97497.0,71.0,,,,,,,,,,,,,,,,,
Lewis County,22,0,,,,,,,,,,,,,,,,,,,
Lewiston-Auburn Transit Committee,18,0,46052.0,19.0,31.42,,,,,,,,,,,,,,,,
"Lexington Transit Authority, dba: Lextran",285,3371670,295803.0,284.0,83.99,334672.0,200206.0,0.0,268042.0,0.0,0.0,0.0,80.0,802920.0,80.0,40017.0,Lexington,KY,"Lexington-Fayette, KY",,203.0
Liberty County Board of County Commissioners,7,0,,,,,,,,,,,,,,,,,,,
Liberty County Council on Aging,3,0,,,,,,,,,,,,,,,,,,,
"Liberty Place, Inc.",10,0,,,,,,,,,,,,,,,,,,,
Licking Bridge Builders Senior Center,2,0,,,,,,,,,,,,,,,,,,,
"Licking County, Ohio, dba: Licking County Transit Board",18,870080,181359.0,683.0,44.09,11.0,99756.0,0.0,0.0,0.0,0.0,0.0,0.0,99767.0,0.0,50163.0,Newark,OH,"Newark, OH",,49.0
Licking Valley CAP,57,0,,,,,,,,,,,,,,,,,,,
"LifeStream Services , dba: The New Interurban",14,0,,,,,,,,,,,,,,,,,,,
"LifeTime Resources , dba: Catch-a-Ride",20,0,,,,,,,,,,,,,,,,,,,
Lima Allen County Regional Transit Authority,36,0,101670.0,407.0,48.66,,,,,,,,,,,,,,,,
Lincoln County,16,0,,,,,,,,,,,,,,,,,,,
Lincoln County Public Transportation,2,0,,,,,,,,,,,,,,,,,,,
Lincoln County Transit,3,0,,,,,,,,,,,,,,,,,,,
Lincoln County Transportation,3,0,,,,,,,,,,,,,,,,,,,
Lincoln County Transportation Service District,39,0,,,,,,,,,,,,,,,,,,,
"Lincoln County Transportation Service, Inc.",9,0,,,,,,,,,,,,,,,,,,,
Linn County,17,0,230299.0,725.0,86.03,,,,,,,,,,,,,,,,
Little Kanawha Transit Authority,10,0,,,,,,,,,,,,,,,,,,,
Livermore / Amador Valley Transit Authority,94,1441595,236690.0,40.0,65.26,299474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299474.0,0.0,,,,,,
"Living Wells in Wabash County Council on Aging , dba: Wabash County Transit",4,0,,,,,,,,,,,,,,,,,,,
Livingston Council on Aging,13,0,,,,,,,,,,,,,,,,,,,
"Livingston County Board of Commissioners, dba: Livingston Essential Transportation Service",28,0,193866.0,568.0,119.51,,,,,,,,,,,,,,,,
"Logan County Historical Society, dba: First Capital Trolley",76,0,,,,,,,,,,,,,,,,,,,
Logan County Hospital,1,0,,,,,,,,,,,,,,,,,,,
"Logan County, dba: SHOW BUS Public Transportation, NFP",7,0,,,,,,,,,,,,,,,,,,,
Logan Transit System,10,0,,,,,,,,,,,,,,,,,,,
Long Beach Transit,288,6586801,906752.0,110.0,1636.83,0.0,779700.0,0.0,1127412.0,0.0,0.0,0.0,527196.0,1907112.0,527196.0,90023.0,Long Beach,CA,"Los Angeles--Long Beach--Anaheim, CA",,736.0
Loop Trolley Transportation Development District,1,1650,50580.0,5.0,910.37,0.0,0.0,0.0,0.0,0.0,0.0,117058.0,0.0,0.0,117058.0,,,,,,
"Lorain County, dba: Lorain County Transit",30,0,127025.0,49.0,90.61,,,,,,,,,,,,,,,,
Los Angeles County Department of Public Works - Avocado Heights,1,0,15500.0,9.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Department of Public Works - East L.A.,32,0,126496.0,8.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Department of Public Works - East Valinda,1,0,22822.0,15.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Department of Public Works - South Whittier,5,0,86883.0,5.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Department of Public Works - Whittier,10,0,284527.0,42.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Dept. of Public Works - Athens Shuttle Service,1,0,23159.0,25.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Dept. of Public Works - Florence-Firestone,2,0,63387.0,7.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Dept. of Public Works - King Medical Center Shuttle Service,2,0,12358.0,49.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Dept. of Public Works - Lennox Shuttle,1,0,27897.0,16.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Dept. of Public Works - Willowbrook Shuttle,2,0,24798.0,36.0,1636.83,,,,,,,,,,,,,,,,
Los Angeles County Dept. of Public Works - Willowbrook et al.,3,0,179976.0,17.0,1636.83,,,,,,,,,,,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",17563,110932715,10394849.0,4099.0,1636.83,0.0,977648.0,0.0,26998561.0,0.0,0.0,187734358.0,3635843.0,27976209.0,191370201.0,90154.0,Los Angeles,CA,"Los Angeles--Long Beach--Anaheim, CA",,
"Loudoun County, dba: Loudoun County Transit",153,2540509,373694.0,520.0,1294.51,252071.0,218713.0,0.0,0.0,0.0,0.0,0.0,0.0,470784.0,0.0,,,,,,
"Louisburg Area Senior Citizens, Inc.",3,0,,,,,,,,,,,,,,,,,,,
"Louisville WHEELS Transportation, Inc",36,0,,,400.86,,,,,,,,,,,,,,,,
Loup City,1,0,,,,,,,,,,,,,,,,,,,
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze",87,0,201265.0,3730.0,63.24,,,,,,,,,,,,,,,,
Lowell Regional Transit Authority,156,1719527,370594.0,282.0,1655.89,,,,,,,,,,,,,,,,
Lower Brule Sioux Tribe,4,0,,,0.0,,,,,,,,,,,,,,,,
Lower Chattahoochee Regional Transit Authority,10,0,,,,,,,,,,,,,,,,,,,
Lower Columbia Community Action Council,10,0,,,,,,,,,,,,,,,,,,,
Lower Elwha Klallam Tribe,1,0,,,0.0,,,,,,,,,,,,,,,,
Lower Rio Grande Valley Development Council,70,1980707,1162453.0,4645.0,326.22,171542.0,178384.0,0.0,0.0,0.0,0.0,0.0,0.0,349926.0,0.0,60090.0,Weslaco,TX,"McAllen, TX",,93.33
Lower Savannah COG,14,0,88300.0,222.0,273.29,,,,,,,,,,,,,,,,
Ludington Mass Transportation Authority,18,0,,,,,,,,,,,,,,,,,,,
"Lummi Nation, dba: Lummi Indian Business Council",2,0,,,0.0,,,,,,,,,,,,,,,,
Lumpkin County,2,0,,,,,,,,,,,,,,,,,,,
Luzerne County Transportation Authority,124,2059042,295020.0,56.0,162.16,107214.0,118903.0,0.0,179645.0,0.0,0.0,0.0,0.0,405762.0,0.0,30015.0,Kingston,PA,"Scranton, PA",,157.46
Lyon County Area Transportation,20,0,,,,,,,,,,,,,,,,,,,
Lyon County Human Services,10,0,,,,,,,,,,,,,,,,,,,
"M-1 Rail, dba: QLINE Detroit",4,122684,21738.0,6.0,1284.83,0.0,0.0,0.0,0.0,0.0,0.0,2268532.0,0.0,0.0,2268532.0,50213.0,Detroit,MI,"Detroit, MI",,41.04
"MAGB Transportation, Inc.",31,0,,,,,,,,,,,,,,,,,,,
METRO Regional Transit Authority,546,5542073,541013.0,420.0,300.64,238988.0,43238.0,0.0,815610.0,0.0,0.0,0.0,59032.0,1097836.0,59032.0,50010.0,Akron,OH,"Akron, OH",,387.61
MIDAS Council of Governments,18,0,,,,,,,,,,,,,,,,,,,
MTA Bus Company,1134,35877613,7706403.0,244.0,3248.12,9476906.0,0.0,0.0,1147229.0,0.0,0.0,0.0,0.0,10624135.0,0.0,20188.0,New York,NY,"New York--Jersey City--Newark, NY--NJ",,
MTA Long Island Rail Road,908,69934140,11170342.0,2967.0,3248.12,7310132.0,0.0,0.0,0.0,0.0,0.0,475664400.0,0.0,7310132.0,475664400.0,20100.0,Jamaica,NY,"New York--Jersey City--Newark, NY--NJ",,
MTA New York City Transit,50095,491106831,8804190.0,321.0,3248.12,27958302.0,3570980.0,0.0,4824913.0,0.0,0.0,1552447460.0,618599.0,36354195.0,1553066059.0,20008.0,Brooklyn,NY,"New York--Jersey City--Newark, NY--NJ",,
Macatawa Area Express Transportation Authority,38,662377,90852.0,45.0,64.8,48485.0,60362.0,0.0,0.0,0.0,0.0,0.0,0.0,108847.0,0.0,50184.0,Holland,MI,"Holland, MI",,81.0
Macon Area Chamber of Commerce,1,0,,,,,,,,,,,,,,,,,,,
Macon County,24,0,,,,,,,,,,,,,,,,,,,
Macon County Commission,5,0,,,,,,,,,,,,,,,,,,,
Macon County Transit,3,0,,,,,,,,,,,,,,,,,,,
"Macon-Bibb County Transit Authority, dba: Public Bus Transportation",60,0,153691.0,70.0,99.27,,,,,,,,,,,,,,,,
"Macoupin County, dba: Macoupin County Public Transportation",45,0,,,,,,,,,,,,,,,,,,,
Madera County,16,0,,,22.39,,,,,,,,,,,,,,,,
Madison County,7,0,,,,,,,,,,,,,,,,,,,
Madison County Citizens Services Agency,11,0,,,,,,,,,,,,,,,,,,,
Madison County Commission,9,0,,,,,,,,,,,,,,,,,,,
"Madison County Council of Governments, dba: Transportation for Rural Areas of Madison County",3,0,,,,,,,,,,,,,,,,,,,
Madison County Transit District,351,5132926,232298.0,189.0,910.37,0.0,160040.0,0.0,0.0,704914.0,0.0,0.0,0.0,864954.0,0.0,50146.0,Pontoon Beach,IL,"St. Louis, MO--IL",,5.0
Madison County Transportation Authority,8,0,,,,,,,,,,,,,,,,,,,
Madison Voluntary Council on Aging,5,0,,,,,,,,,,,,,,,,,,,
Maine State Ferry Service,7,0,,,,,,,,,,,,,,,,,,,
Makah Tribal Council,1,0,,,0.0,,,,,,,,,,,,,,,,
Malheur Council on Aging and Community Services,27,0,,,,,,,,,,,,,,,,,,,
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",98,2207225,399710.0,743.0,404.28,341739.0,48190.0,0.0,0.0,0.0,0.0,0.0,0.0,389929.0,0.0,40026.0,Sarasota,FL,"Bradenton--Sarasota--Venice, FL",,143.0
Manchester Transit Authority,40,0,248263.0,235.0,80.63,,,,,,,,,,,,,,,,
"Manistee County Transportation, Inc.",24,0,,,,,,,,,,,,,,,,,,,
Marble Valley Regional Transit District,130,0,,,,,,,,,,,,,,,,,,,
Marin County Transit District,160,3882600,262321.0,520.0,513.8,,,,,,,,,,,,,,,,
Marion Area Transit,10,0,,,,,,,,,,,,,,,,,,,
"Marion County Senior Services, dba: Marion Transit",46,0,,,125.03,,,,,,,,,,,,,,,,
Mariposa County Transit,8,0,,,,,,,,,,,,,,,,,,,
Marquette County Transit Authority,58,0,,,,,,,,,,,,,,,,,,,
Marshall County,10,0,,,,,,,,,,,,,,,,,,,
Marshall County Agency on Aging,4,0,,,,,,,,,,,,,,,,,,,
"Marshall County Council on Aging , dba: Marshall County Rural Transit",9,0,,,,,,,,,,,,,,,,,,,
"Marshall, City of",5,0,418408.0,640.0,,,,,,,,,,,,,,,,,
Marshalltown Municipal Transit,5,0,,,,,,,,,,,,,,,,,,,
Martha's Vineyard Transit Authority,62,0,,,,,,,,,,,,,,,,,,,
Martin County,40,639093,159942.0,65.0,224.23,100785.0,5679.0,0.0,0.0,0.0,0.0,0.0,0.0,106464.0,0.0,,,,,,
Maryland Transit Administration,11888,57861263,7811145.0,2560.0,654.93,,,,,,,,,,,30034.0,Baltimore,MD,"Baltimore, MD",,
Mashantucket Pequot Tribal Nation,1,0,,,0.0,,,,,,,,,,,,,,,,
Mason County Transportation Authority,56,0,,,,,,,,,,,,,,,,,,,
Mass Transportation Authority,735,8925100,405813.0,640.0,205.46,27126.0,183820.0,684856.0,697162.0,0.0,0.0,0.0,0.0,1592964.0,0.0,50032.0,Flint,MI,"Flint, MI",,592.5
Massachusetts Bay Transportation Authority,18162,89707746,3109308.0,3244.0,1655.89,19729538.0,1098290.0,0.0,1425801.0,0.0,0.0,209830786.0,192166.0,22253629.0,210022952.0,10003.0,Boston,MA,"Boston, MA--NH",,
Mayor and City Council Town of Ocean City,104,0,,,,,,,,,,,,,,,,,,,
Maysville Transit System,6,0,,,,,,,,,,,,,,,,,,,
McCormick County Senior Center,13,0,,,,,,,,,,,,,,,,,,,
McDowell Transit,8,0,,,,,,,,,,,,,,,,,,,
McDuffie County Commission Transit,6,0,,,,,,,,,,,,,,,,,,,
McKinney Avenue Transit Authority,4,69807,19850.0,5.0,1746.9,0.0,0.0,0.0,0.0,0.0,0.0,301900.0,0.0,0.0,301900.0,60133.0,Dallas,TX,"Dallas--Fort Worth--Arlington, TX",,23.0
"McLean County, dba: SHOW BUS Public Transportation, NFP",27,0,,,,,,,,,,,,,,,,,,,
McLennan County,81,0,157849.0,15355.0,,,,,,,,,,,,,,,,,
McPherson County Council on Aging,4,0,,,,,,,,,,,,,,,,,,,
Mecklenburg County,176,418263,1122276.0,31.0,657.61,,,,,,,,,,,40228.0,Charlotte,NC,"Charlotte, NC--SC",,45.0
Mecosta Osceola Transit Authority,10,0,,,,,,,,,,,,,,,,,,,
Medina County Public Transit,69,537473,182470.0,425.0,713.81,541.0,60403.0,0.0,0.0,0.0,0.0,0.0,0.0,60944.0,0.0,50198.0,Medina,OH,"Cleveland, OH",,44.43
Mendocino Transit Authority,52,0,,,,,,,,,,,,,,,,,,,
Menominee Indian Tribe of Wisconsin,62,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Merrimack Valley Regional Transit Authority,183,2504488,398382.0,225.0,1655.89,351367.0,98387.0,0.0,0.0,0.0,0.0,0.0,0.0,449754.0,0.0,,,,,,
Metro Transit,1521,26267901,1731667.0,492.0,1014.79,147088.0,0.0,0.0,0.0,4185563.0,0.0,29732225.0,533094.0,4332651.0,30265319.0,50027.0,Minneapolis,MN,"Minneapolis--St. Paul, MN",,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",3447,70431898,6503894.0,527.0,3248.12,7117284.0,0.0,0.0,0.0,0.0,0.0,388728660.0,0.0,7117284.0,388728660.0,20078.0,New York,NY,"New York--Jersey City--Newark, NY--NJ",,
MetroWest Regional Transit Authority,160,1892153,355287.0,438.0,1655.89,0.0,107712.0,0.0,123768.0,0.0,0.0,0.0,0.0,231480.0,0.0,,,,,,
