Agency,NTD ID,Operating Federal,Operating State,Operating Local,Operating Other,Capital Federal,Capital State,Capital Local,Capital Other,Number of Operating Fleets,Ridership,Total OE,OpExp VO,OpExp VM,OpExp NVM,OpExp GA,FARES,DRM,VRM,VRH,UPT,PMT,Days of Service Operated,Days Not Operated Due to Emergencies,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW,City,State,Cluster
Lawrence County Port Authority,50186,792362.0,38362.0,63861.0,138397.0,146880.0,0.0,36720.0,0.0,40.0,0.0,1032982.0,0.0,0.0,0.0,0.0,138397.0,0.0,210586.0,13027.0,13777.0,0.0,0.0,0.0,0.0,0.0,South Point,OH,0
Mid-Ohio Regional Planning Commission,50191,278966.0,0.0,36150.0,185463.0,0.0,0.0,0.0,0.0,19.0,321945.0,395610.0,59201.0,5293.0,5964.0,325152.0,185463.0,0.0,321945.0,6492.0,33496.0,1560966.0,274.0,0.0,0.0,0.0,Columbus,OH,10
"Michigan Department of Transportation, dba: MichiVan",50193,0.0,1088397.0,0.0,1668116.0,0.0,0.0,0.0,0.0,166.0,2831058.0,1566177.0,467244.0,68429.0,30758.0,999746.0,1668116.0,0.0,2831058.0,57240.0,216287.0,9438854.0,365.0,0.0,0.0,0.0,0,MI,10
Boone County Council on Aging,50194,80128.0,89677.0,0.0,423284.0,0.0,0.0,0.0,0.0,7.0,0.0,593089.0,0.0,0.0,0.0,0.0,24622.0,0.0,171141.0,14089.0,27495.0,0.0,0.0,0.0,0.0,0.0,Belvidere,IL,0
City of Shelby,50195,34776.0,0.0,107.0,2619.0,0.0,0.0,0.0,0.0,1.0,0.0,37502.0,0.0,0.0,0.0,0.0,2619.0,0.0,14424.0,1640.0,4753.0,0.0,0.0,0.0,0.0,0.0,Shelby,OH,0
"Harbor Transit Multi-Modal Transportation System, dba: Harbor Transit",50196,562604.0,1083534.0,1619119.0,27172.0,327198.0,81800.0,0.0,0.0,40.0,0.0,3292429.0,0.0,0.0,0.0,0.0,0.0,0.0,629223.0,45134.0,168901.0,0.0,0.0,0.0,0.0,0.0,Grand Haven,MI,0
Medina County Public Transit,50198,1766436.0,198751.0,494580.0,0.0,0.0,0.0,0.0,0.0,69.0,537473.0,2452419.0,1470455.0,235501.0,61556.0,684907.0,498722.0,165.0,497884.0,34272.0,63131.0,610001.0,911.0,0.0,0.0,165.0,Medina,OH,21
Delaware County Transit Board,50199,3232320.0,145825.0,0.0,154534.0,318003.0,0.0,0.0,0.0,21.0,621046.0,3533321.0,2106043.0,329755.0,28492.0,1069031.0,146409.0,0.0,554927.0,33393.0,104164.0,492832.0,257.0,0.0,0.0,0.0,Delaware,OH,10
"County of Warren, dba: Warren County Transit Service",50200,641318.0,71809.0,76041.0,94375.0,0.0,111204.0,0.0,0.0,11.0,0.0,838543.0,0.0,0.0,0.0,0.0,94375.0,0.0,381512.0,24975.0,33025.0,0.0,0.0,0.0,0.0,0.0,Lebanon,OH,0
Hancock Area Rural Transit,50201,470525.0,2854.0,0.0,119342.0,0.0,0.0,0.0,0.0,10.0,0.0,592721.0,0.0,0.0,0.0,0.0,64340.0,0.0,149059.0,11242.0,14693.0,0.0,0.0,0.0,0.0,0.0,Greenfield ,IN,0
City of West Bend,50202,526973.0,286281.0,0.0,352031.0,0.0,0.0,0.0,0.0,14.0,0.0,1165285.0,0.0,0.0,0.0,0.0,352031.0,0.0,335953.0,35428.0,80283.0,0.0,0.0,0.0,0.0,0.0,West Bend,WI,0
Jackson County Mass Transit District,50204,1093785.0,673864.0,0.0,99009.0,284907.0,0.0,11095.0,0.0,19.0,402022.0,1846466.0,1304494.0,129351.0,0.0,412621.0,79003.0,41.0,349297.0,21886.0,83348.0,684252.0,313.0,0.0,0.0,41.0,Carbondale,IL,10
"City of Mankato , dba: Mankato Transit System",50205,727512.0,3176705.0,81430.0,730974.0,0.0,0.0,0.0,0.0,36.0,0.0,4716621.0,0.0,0.0,0.0,0.0,625164.0,0.0,527714.0,40334.0,381288.0,0.0,0.0,0.0,0.0,0.0,Mankato,MN,0
"City of Midland, dba: City of Midland Dial-A-Ride",50207,958247.0,724292.0,396796.0,95752.0,3996.0,999.0,0.0,0.0,10.0,0.0,2175087.0,0.0,0.0,0.0,0.0,95617.0,0.0,371517.0,23191.0,87600.0,0.0,0.0,0.0,0.0,0.0,Midland,MI,0
"Midland County Board of Commissioners, dba: County Connection of Midland",50208,1041706.0,908214.0,538818.0,130983.0,0.0,0.0,113537.0,0.0,22.0,0.0,2619721.0,0.0,0.0,0.0,0.0,130983.0,0.0,906250.0,39326.0,53825.0,0.0,0.0,0.0,0.0,0.0,Midland,MI,0
Central Indiana Regional Transportation Authority,50209,355758.0,64388.0,669291.0,529253.0,0.0,0.0,0.0,0.0,68.0,934822.0,1273583.0,460408.0,151230.0,34075.0,627870.0,529253.0,43.0,923909.0,24173.0,147038.0,6760313.0,708.0,0.0,0.0,43.0,Indianapolis,IN,21
City of Hartford,50210,81413.0,74417.0,0.0,95654.0,0.0,0.0,0.0,0.0,2.0,0.0,251484.0,0.0,0.0,0.0,0.0,56678.0,0.0,31228.0,5356.0,14508.0,0.0,0.0,0.0,0.0,0.0,Hartford,WI,0
Rides Mass Transit District,50211,13180228.0,3018220.0,8.0,233401.0,1380400.0,1494881.0,163251.0,0.0,116.0,3325804.0,16204281.0,10492193.0,1651668.0,132572.0,3927848.0,211191.0,565.0,3168576.0,168978.0,594288.0,3395961.0,364.0,0.0,0.0,565.0,Harrisburg,IL,9
"M-1 Rail, dba: QLINE Detroit",50213,0.0,5000000.0,0.0,5018878.0,0.0,0.0,0.0,567897.0,4.0,122684.0,9759992.0,2992085.0,1867956.0,1402864.0,3497087.0,0.0,6.65,119780.0,18356.0,562821.0,663984.0,363.0,0.0,0.0,0.0,Detroit,MI,10
Voluntary Action Center,50215,1358656.0,851861.0,0.0,156168.0,0.0,0.0,0.0,0.0,21.0,0.0,2366685.0,0.0,0.0,0.0,0.0,156168.0,0.0,321925.0,20352.0,35694.0,0.0,0.0,0.0,0.0,0.0,Sycamore,IL,0
Iosco Transit Corporation,50217,245203.0,204659.0,77167.0,69164.0,15410.0,3852.0,0.0,0.0,6.0,0.0,596193.0,0.0,0.0,0.0,0.0,62051.0,0.0,135946.0,6997.0,22000.0,0.0,0.0,0.0,0.0,0.0,East Tawas,MI,0
City of  Ottawa,50219,316155.0,1224662.0,225893.0,128629.0,0.0,0.0,0.0,0.0,20.0,0.0,1895339.0,0.0,0.0,0.0,0.0,128370.0,0.0,405559.0,15632.0,52123.0,0.0,0.0,0.0,0.0,0.0,Ottawa,IL,0
City of Shawano,50220,78024.0,35218.0,34484.0,190598.0,0.0,0.0,0.0,0.0,5.0,0.0,338324.0,0.0,0.0,0.0,0.0,190598.0,0.0,126034.0,11879.0,32209.0,0.0,0.0,0.0,0.0,0.0,Shawano,WI,0
"Bond County, dba: Bond County Senior Center, Inc.",50221,65086.0,527121.0,56405.0,24277.0,0.0,0.0,0.0,0.0,14.0,0.0,672889.0,0.0,0.0,0.0,0.0,24277.0,0.0,168932.0,10980.0,27057.0,0.0,0.0,0.0,0.0,0.0,Greenville,IL,0
CRIS Rural Mass Transit District,50223,404609.0,979029.0,50840.0,606.0,0.0,0.0,0.0,0.0,19.0,0.0,1435084.0,0.0,0.0,0.0,0.0,606.0,0.0,372916.0,18985.0,54330.0,0.0,0.0,0.0,0.0,0.0,Danville,IL,0
Caro Transit Authority,50224,514173.0,435203.0,221552.0,95128.0,7918.0,0.0,0.0,0.0,15.0,0.0,1266056.0,0.0,0.0,0.0,0.0,87001.0,0.0,252127.0,24620.0,33514.0,0.0,0.0,0.0,0.0,0.0,Caro,MI,0
Arenac County,50225,260441.0,211255.0,126134.0,24913.0,39925.0,7320.0,0.0,0.0,8.0,0.0,622743.0,0.0,0.0,0.0,0.0,19885.0,0.0,256535.0,16288.0,17177.0,0.0,0.0,0.0,0.0,0.0,Standish,MI,0
Dunn County Transit Commission,50226,402384.0,28155.0,5401.0,33937.0,0.0,0.0,0.0,0.0,8.0,0.0,469877.0,0.0,0.0,0.0,0.0,33937.0,0.0,82778.0,6442.0,94599.0,0.0,0.0,0.0,0.0,0.0,Menomonie,WI,0
Shiawassee Area Transportation Agency,50227,651281.0,380914.0,149439.0,98316.0,11992.0,3998.0,0.0,0.0,16.0,0.0,1279950.0,0.0,0.0,0.0,0.0,70583.0,0.0,521583.0,30998.0,54318.0,0.0,0.0,0.0,0.0,0.0,Owosso,MI,0
City of Richland Center,50229,92597.0,32575.0,45695.0,101809.0,0.0,0.0,0.0,0.0,3.0,0.0,272676.0,0.0,0.0,0.0,0.0,101809.0,0.0,96749.0,8940.0,25462.0,0.0,0.0,0.0,0.0,0.0,Richland Center,WI,0
"Boone County Senior Services, dba: Boone Area Transit System",50230,352732.0,84907.0,198503.0,62186.0,20420.0,0.0,6270.0,0.0,12.0,0.0,698328.0,0.0,0.0,0.0,0.0,62186.0,0.0,232288.0,16148.0,18613.0,0.0,0.0,0.0,0.0,0.0,Lebanon,IN,0
Rainbow Rider Transit Board,50231,503092.0,2118424.0,365410.0,495801.0,338697.0,10716.0,76029.0,0.0,56.0,0.0,3482727.0,0.0,0.0,0.0,0.0,495801.0,0.0,726092.0,58259.0,129424.0,0.0,0.0,0.0,0.0,0.0,Lowry,MN,0
"City of Macomb, dba: McDonough County Public Transportation",50232,1284865.0,1056727.0,154807.0,458996.0,15872.0,0.0,0.0,0.0,120.0,0.0,2955395.0,0.0,0.0,0.0,0.0,458996.0,0.0,360157.0,34176.0,237438.0,0.0,0.0,0.0,0.0,0.0,Macomb,IL,0
Thunderbay Transportation Authority,50233,635305.0,547049.0,284155.0,106986.0,373572.0,72879.0,0.0,0.0,23.0,0.0,1573495.0,0.0,0.0,0.0,0.0,86226.0,0.0,327608.0,24644.0,75928.0,0.0,0.0,0.0,0.0,0.0,Alpena,MI,0
Carroll County,50234,113934.0,311300.0,270898.0,27703.0,0.0,0.0,0.0,0.0,14.0,0.0,723835.0,0.0,0.0,0.0,0.0,27703.0,0.0,247371.0,15743.0,26718.0,0.0,0.0,0.0,0.0,0.0,Mount Carroll,IL,0
City of Monroe,50235,190569.0,69804.0,74076.0,127970.0,0.0,0.0,0.0,0.0,9.0,0.0,462419.0,0.0,0.0,0.0,0.0,127970.0,0.0,114874.0,14619.0,48021.0,0.0,0.0,0.0,0.0,0.0,Monroe,WI,0
Rock Island County,50237,95300.0,346670.0,57687.0,27935.0,0.0,0.0,0.0,0.0,11.0,0.0,527592.0,0.0,0.0,0.0,0.0,27935.0,0.0,156288.0,4955.0,10870.0,0.0,0.0,0.0,0.0,0.0,Rock Island,IL,0
City of Black River Falls,50239,104230.0,36885.0,83920.0,78780.0,0.0,0.0,0.0,0.0,3.0,0.0,303815.0,0.0,0.0,0.0,0.0,78780.0,0.0,69447.0,9361.0,26095.0,0.0,0.0,0.0,0.0,0.0,Black River Falls,WI,0
Schoolcraft Transit Authority,50240,352223.0,370568.0,280984.0,67208.0,224117.0,56029.0,0.0,0.0,10.0,0.0,1070983.0,0.0,0.0,0.0,0.0,52557.0,0.0,242240.0,12696.0,36191.0,0.0,0.0,0.0,0.0,0.0,Manistique,MI,0
Eastern Upper Peninsula Transportation Authority,50241,641698.0,2124375.0,0.0,1689399.0,2124731.0,1251497.0,0.0,0.0,33.0,0.0,4455472.0,0.0,0.0,0.0,0.0,1674718.0,0.0,407166.0,35939.0,853785.0,0.0,0.0,0.0,0.0,0.0,Sault Sainte Marie,MI,0
Roscommon County Transportation Authority,50242,954162.0,821665.0,504355.0,83137.0,91523.0,22881.0,0.0,0.0,24.0,0.0,2363319.0,0.0,0.0,0.0,0.0,61541.0,0.0,518069.0,26344.0,66327.0,0.0,0.0,0.0,0.0,0.0,Prudenville,MI,0
Isabella County Transportation Commission,50244,2312628.0,2024271.0,1039434.0,384467.0,315002.0,0.0,0.0,0.0,78.0,0.0,5760800.0,0.0,0.0,0.0,0.0,323976.0,0.0,1096374.0,75694.0,268721.0,0.0,0.0,0.0,0.0,0.0,Mt. Pleasant,MI,0
"Marshall County Council on Aging , dba: Marshall County Rural Transit",50246,289827.0,56702.0,52539.0,51238.0,50203.0,0.0,12551.0,0.0,9.0,0.0,450306.0,0.0,0.0,0.0,0.0,51238.0,0.0,184436.0,12155.0,26796.0,0.0,0.0,0.0,0.0,0.0,Plymouth,IN,0
"Steuben County Council on Aging, dba: Steuben County Public Transit",50248,271636.0,73613.0,72808.0,34548.0,12200.0,0.0,3145.0,0.0,4.0,0.0,452605.0,0.0,0.0,0.0,0.0,34548.0,0.0,103381.0,6553.0,13455.0,0.0,0.0,0.0,0.0,0.0,Angola,IN,0
"City of Richmond, dba: RoseView Transit",50249,765141.0,375531.0,4763.0,122851.0,1952.0,0.0,488.0,0.0,18.0,0.0,1268286.0,0.0,0.0,0.0,0.0,119931.0,0.0,221374.0,17403.0,142858.0,0.0,0.0,0.0,0.0,0.0,Richmond,IN,0
"Lee County, dba: Lee-Ogle Transportation System",50250,1326466.0,795233.0,31088.0,57619.0,36922.0,204410.0,0.0,0.0,52.0,0.0,2210406.0,0.0,0.0,0.0,0.0,57619.0,0.0,584796.0,21017.0,78058.0,0.0,0.0,0.0,0.0,0.0,Dixon,IL,0
"Macoupin County, dba: Macoupin County Public Transportation",50252,549365.0,623146.0,0.0,53626.0,0.0,0.0,0.0,0.0,45.0,0.0,1226137.0,0.0,0.0,0.0,0.0,53626.0,0.0,826362.0,34886.0,62165.0,0.0,0.0,0.0,0.0,0.0,Carlinville,IL,0
Grundy County,50253,364991.0,241020.0,0.0,36647.0,0.0,0.0,0.0,0.0,8.0,0.0,642658.0,0.0,0.0,0.0,0.0,36647.0,0.0,163065.0,9564.0,13442.0,0.0,0.0,0.0,0.0,0.0,Morris,IL,0
Carroll County Transit,50255,422303.0,266007.0,102153.0,196466.0,51165.0,0.0,24296.0,0.0,12.0,0.0,986929.0,0.0,0.0,0.0,0.0,78634.0,0.0,307058.0,10402.0,8604.0,0.0,0.0,0.0,0.0,0.0,Carrollton,OH,0
Access Johnson County,50256,1557368.0,0.0,0.0,67936.0,0.0,0.0,0.0,0.0,32.0,0.0,1625304.0,0.0,0.0,0.0,0.0,67936.0,0.0,439317.0,29677.0,52856.0,0.0,0.0,0.0,0.0,0.0,Franklin,IN,0
City of Marshfield,50257,264790.0,131175.0,119089.0,408657.0,0.0,0.0,0.0,0.0,11.0,0.0,923711.0,0.0,0.0,0.0,0.0,408657.0,0.0,296552.0,29027.0,88868.0,0.0,0.0,0.0,0.0,0.0,Marshfield,WI,0
City of Quincy,50258,600253.0,2198190.0,455535.0,146663.0,0.0,0.0,0.0,0.0,34.0,0.0,3400641.0,0.0,0.0,0.0,0.0,146663.0,0.0,600251.0,47861.0,295566.0,0.0,0.0,0.0,0.0,0.0,Quincy,IL,0
Eaton County Transportation Authority,50260,869413.0,760419.0,420587.0,123114.0,0.0,0.0,0.0,0.0,24.0,0.0,2173533.0,0.0,0.0,0.0,0.0,115186.0,0.0,571044.0,30893.0,76292.0,0.0,0.0,0.0,0.0,0.0,Charlotte,MI,0
"Morris, City of",50262,77208.0,275822.0,93434.0,61575.0,0.0,0.0,0.0,0.0,4.0,0.0,508039.0,0.0,0.0,0.0,0.0,61575.0,0.0,84854.0,10033.0,48183.0,0.0,0.0,0.0,0.0,0.0,Morris,MN,0
"Bureau County, dba: Bureau Putnam Area Rural Transit",50263,735612.0,633706.0,90651.0,65170.0,0.0,0.0,0.0,0.0,17.0,0.0,1525139.0,0.0,0.0,0.0,0.0,65170.0,0.0,475431.0,17432.0,57948.0,0.0,0.0,0.0,0.0,0.0,Princeton,IL,0
"Marshall, City of",50265,185210.0,161991.0,77577.0,38248.0,24752.0,0.0,0.0,0.0,5.0,0.0,463026.0,0.0,0.0,0.0,0.0,32239.0,0.0,81382.0,8296.0,18833.0,0.0,0.0,0.0,0.0,0.0,Marshall,MI,0
City of Viroqua,50266,177600.0,79999.0,40696.0,115772.0,0.0,0.0,0.0,0.0,6.0,0.0,414067.0,0.0,0.0,0.0,0.0,115772.0,0.0,144988.0,13824.0,37432.0,0.0,0.0,0.0,0.0,0.0,Viroqua,WI,0
Hillsdale Dial-A-Ride,50268,166842.0,121136.0,17793.0,40477.0,5000.0,1250.0,0.0,0.0,3.0,0.0,346248.0,0.0,0.0,0.0,0.0,40477.0,0.0,49795.0,5043.0,24870.0,0.0,0.0,0.0,0.0,0.0,Hillsdale,MI,0
Champaign County,50269,315438.0,313736.0,0.0,145733.0,0.0,0.0,0.0,0.0,16.0,0.0,774907.0,0.0,0.0,0.0,0.0,37437.0,0.0,248968.0,12331.0,23539.0,0.0,0.0,0.0,0.0,0.0,Urbana,IL,0
"Madison County Council of Governments, dba: Transportation for Rural Areas of Madison County",50272,317095.0,64661.0,31589.0,6777.0,0.0,0.0,0.0,0.0,3.0,0.0,420122.0,0.0,0.0,0.0,0.0,6777.0,0.0,103649.0,4493.0,13759.0,0.0,0.0,0.0,0.0,0.0,Anderson,IN,0
Knox Area Transit,50275,855624.0,1062005.0,109668.0,216160.0,150441.0,0.0,40000.0,0.0,30.0,0.0,2243457.0,0.0,0.0,0.0,0.0,140102.0,0.0,585754.0,36943.0,121211.0,0.0,0.0,0.0,0.0,0.0,Mount Vernon,OH,0
"Four Rivers Resource Services, dba: Ride Solution",50276,1934225.0,790515.0,0.0,189606.0,58731.0,0.0,15333.0,0.0,96.0,0.0,2914346.0,0.0,0.0,0.0,0.0,189606.0,0.0,1126186.0,70244.0,116170.0,0.0,0.0,0.0,0.0,0.0,Loogootee,IN,0
Village of Plover,50277,90668.0,29187.0,34797.0,83188.0,0.0,0.0,0.0,0.0,3.0,0.0,237840.0,0.0,0.0,0.0,0.0,83188.0,0.0,156554.0,9459.0,27518.0,0.0,0.0,0.0,0.0,0.0,Plover,WI,0
Athens Transit,50278,1118675.0,623409.0,222833.0,251994.0,624567.0,0.0,94556.0,0.0,28.0,0.0,2216911.0,0.0,0.0,0.0,0.0,48053.0,0.0,521303.0,36696.0,211823.0,0.0,0.0,0.0,0.0,0.0,Glouster,OH,0
"Rush County Senior Services , dba: Ride Rush Public Transit",50280,197459.0,41697.0,81184.0,9382.0,18152.0,0.0,4538.0,0.0,4.0,0.0,329722.0,0.0,0.0,0.0,0.0,9382.0,0.0,21824.0,1319.0,9778.0,0.0,0.0,0.0,0.0,0.0,Rushville,IN,0
"Cass County Council on Aging , dba: Cass Area Transit",50281,903552.0,426921.0,137166.0,95201.0,45504.0,0.0,11376.0,0.0,40.0,0.0,1562840.0,0.0,0.0,0.0,0.0,85439.0,0.0,536848.0,30968.0,102289.0,0.0,0.0,0.0,0.0,0.0,Logansport,IN,0
Kalkaska Public Transit Authority,50282,410775.0,349974.0,84720.0,170362.0,338993.0,221339.0,0.0,0.0,72.0,0.0,1015831.0,0.0,0.0,0.0,0.0,158307.0,0.0,183216.0,9663.0,67242.0,0.0,0.0,0.0,0.0,0.0,Kalkaska,MI,0
Warren County,50283,241476.0,363000.0,15140.0,17249.0,0.0,0.0,0.0,0.0,9.0,0.0,636865.0,0.0,0.0,0.0,0.0,17249.0,0.0,130488.0,11764.0,49415.0,0.0,0.0,0.0,0.0,0.0,Monmouth,IL,0
Champaign Transit System,50284,277138.0,57454.0,40751.0,198635.0,118970.0,0.0,23794.0,0.0,9.0,0.0,573978.0,0.0,0.0,0.0,0.0,29759.0,0.0,201197.0,10382.0,23962.0,0.0,0.0,0.0,0.0,0.0,Urbana,OH,0
Straits Regional Ride,50285,370869.0,324375.0,137926.0,94002.0,0.0,0.0,0.0,0.0,12.0,0.0,927172.0,0.0,0.0,0.0,0.0,85158.0,0.0,215000.0,13545.0,35147.0,0.0,0.0,0.0,0.0,0.0,Cheboygan,MI,0
Grant County,50286,34279.0,8609.0,14177.0,5481.0,0.0,0.0,0.0,0.0,1.0,0.0,62546.0,0.0,0.0,0.0,0.0,5481.0,0.0,12632.0,1551.0,3980.0,0.0,0.0,0.0,0.0,0.0,Lancaster,WI,0
"Cardinal Services , dba: Kosciusko Area Bus Service",50289,508286.0,135443.0,27485.0,16990.0,4521.0,0.0,1294.0,0.0,9.0,0.0,688204.0,0.0,0.0,0.0,0.0,16990.0,0.0,127436.0,8885.0,35563.0,0.0,0.0,0.0,0.0,0.0,Warsaw,IN,0
City of Ripon,50290,140765.0,46690.0,49869.0,101225.0,0.0,0.0,0.0,0.0,5.0,0.0,338549.0,0.0,0.0,0.0,0.0,101225.0,0.0,96177.0,11630.0,30810.0,0.0,0.0,0.0,0.0,0.0,Ripon,WI,0
Village of Prairie du Sac,50291,69711.0,18082.0,26713.0,42624.0,0.0,0.0,0.0,0.0,3.0,0.0,157130.0,0.0,0.0,0.0,0.0,42624.0,0.0,42897.0,5322.0,10662.0,0.0,0.0,0.0,0.0,0.0,Prairie Du Sac,WI,0
Bowling Green Transit,50292,271106.0,248925.0,2884.0,105012.0,90050.0,51307.0,22514.0,0.0,7.0,0.0,627927.0,0.0,0.0,0.0,0.0,72842.0,0.0,110430.0,5676.0,29355.0,0.0,0.0,0.0,0.0,0.0,Bowling Green,OH,0
Monroe County Public Transportation,50293,170028.0,52733.0,4727.0,106934.0,46013.0,0.0,11504.0,0.0,8.0,0.0,334422.0,0.0,0.0,0.0,0.0,1954.0,0.0,117471.0,7755.0,7913.0,0.0,0.0,0.0,0.0,0.0,Woodsfield,OH,0
Rusk County Transit Commission,50295,774093.0,185646.0,57838.0,391431.0,0.0,0.0,0.0,0.0,34.0,0.0,1409008.0,0.0,0.0,0.0,0.0,389211.0,0.0,518927.0,31622.0,36819.0,0.0,0.0,0.0,0.0,0.0,Ladysmith,WI,0
Kanabec County,50297,86322.0,430150.0,0.0,106226.0,0.0,0.0,0.0,0.0,5.0,0.0,622698.0,0.0,0.0,0.0,0.0,106226.0,0.0,97256.0,6510.0,25099.0,0.0,0.0,0.0,0.0,0.0,Mora,MN,0
Ottawa County Transportation Agency,50298,872097.0,350702.0,351025.0,93750.0,65616.0,0.0,16405.0,0.0,20.0,0.0,1667574.0,0.0,0.0,0.0,0.0,74696.0,0.0,471600.0,20758.0,46060.0,0.0,0.0,0.0,0.0,0.0,Oak Harbor,OH,0
Henry County,50301,292970.0,342716.0,0.0,57682.0,0.0,0.0,0.0,0.0,16.0,0.0,693368.0,0.0,0.0,0.0,0.0,57682.0,0.0,356626.0,16828.0,40777.0,0.0,0.0,0.0,0.0,0.0,Cambridge,IL,0
"City of Washington, dba: Washington Transit System",50302,92206.0,28205.0,31856.0,673.0,2400.0,0.0,827.0,0.0,1.0,0.0,152940.0,0.0,0.0,0.0,0.0,0.0,0.0,26110.0,2196.0,11979.0,0.0,0.0,0.0,0.0,0.0,Washington,IN,0
City of River Falls,50303,134606.0,38294.0,41155.0,59007.0,0.0,0.0,0.0,0.0,3.0,0.0,273062.0,0.0,0.0,0.0,0.0,59007.0,0.0,80920.0,8234.0,20765.0,0.0,0.0,0.0,0.0,0.0,River Falls,WI,0
"Fulton County, dba: FCRT",50304,455795.0,55156.0,0.0,13307.0,0.0,0.0,0.0,0.0,6.0,0.0,524258.0,0.0,0.0,0.0,0.0,13307.0,0.0,75287.0,3232.0,16051.0,0.0,0.0,0.0,0.0,0.0,Lewistown,IL,0
"LaGrange County Council on Aging , dba: LaGrange County Area Transit",50305,566318.0,212276.0,36209.0,167837.0,10588.0,0.0,7407.0,0.0,9.0,0.0,982640.0,0.0,0.0,0.0,0.0,167837.0,0.0,337922.0,15773.0,35466.0,0.0,0.0,0.0,0.0,0.0,Lagrange,IN,0
"LifeStream Services , dba: The New Interurban",50307,849665.0,212374.0,86712.0,138861.0,0.0,0.0,0.0,0.0,14.0,0.0,1287612.0,0.0,0.0,0.0,0.0,117535.0,0.0,265164.0,17282.0,31434.0,0.0,0.0,0.0,0.0,0.0,Yorktown,IN,0
"Area 10 Council on Aging of Monroe County, dba: Rural Transit",50308,1003091.0,309812.0,18309.0,49154.0,62780.0,0.0,22449.0,0.0,28.0,0.0,1380366.0,0.0,0.0,0.0,0.0,49154.0,0.0,311739.0,20757.0,38415.0,0.0,0.0,0.0,0.0,0.0,Ellettsville,IN,0
Cass County Transportation Authority,50310,199927.0,161830.0,103453.0,12255.0,47890.0,11972.0,0.0,0.0,10.0,0.0,477465.0,0.0,0.0,0.0,0.0,12255.0,0.0,136582.0,6968.0,9471.0,0.0,0.0,0.0,0.0,0.0,Cassopolis,MI,0
Charlevoix County Public Transportation,50313,628414.0,538194.0,303975.0,80835.0,72114.0,18028.0,0.0,0.0,18.0,0.0,1551418.0,0.0,0.0,0.0,0.0,49251.0,0.0,312507.0,21017.0,44850.0,0.0,0.0,0.0,0.0,0.0,Boyne City,MI,0
Clinton Area Transit System,50314,1031625.0,939720.0,677281.0,151968.0,192879.0,18386.0,0.0,0.0,24.0,0.0,2800594.0,0.0,0.0,0.0,0.0,108477.0,0.0,752268.0,34286.0,60041.0,0.0,0.0,0.0,0.0,0.0,St. Johns,MI,0
Shawnee Mass Transit District,50315,1786597.0,2219134.0,0.0,397847.0,459149.0,0.0,0.0,126014.0,42.0,0.0,4403578.0,0.0,0.0,0.0,0.0,104974.0,0.0,1132856.0,34218.0,106948.0,0.0,0.0,0.0,0.0,0.0,Vienna,IL,0
Wilmington Transit System,50316,651250.0,424589.0,262726.0,221465.0,0.0,0.0,0.0,0.0,16.0,0.0,1560030.0,0.0,0.0,0.0,0.0,174541.0,0.0,462650.0,33368.0,90302.0,0.0,0.0,0.0,0.0,0.0,Wilmington,OH,0
City of Baraboo,50318,171458.0,69827.0,190084.0,170352.0,0.0,0.0,0.0,0.0,5.0,0.0,601721.0,0.0,0.0,0.0,0.0,170352.0,0.0,167544.0,19911.0,36120.0,0.0,0.0,0.0,0.0,0.0,Baraboo,WI,0
City of Watertown,50319,260573.0,115763.0,106804.0,326883.0,0.0,0.0,0.0,0.0,10.0,0.0,810023.0,0.0,0.0,0.0,0.0,326883.0,0.0,327481.0,28058.0,94048.0,0.0,0.0,0.0,0.0,0.0,Watertown,WI,0
Volunteer Interfaith Network Effort,50321,119344.0,618082.0,0.0,23509.0,0.0,0.0,0.0,0.0,5.0,0.0,760935.0,0.0,0.0,0.0,0.0,23509.0,0.0,224978.0,9155.0,12259.0,0.0,0.0,0.0,0.0,0.0,Mankato,MN,0
"Brainerd, City of",50322,247605.0,696780.0,414323.0,128211.0,72604.0,9075.0,9076.0,0.0,8.0,0.0,1486919.0,0.0,0.0,0.0,0.0,128211.0,0.0,207752.0,14683.0,51595.0,0.0,0.0,0.0,0.0,0.0,Brainerd,MN,0
Adrian Dial-A-Ride,50323,153505.0,129888.0,65579.0,27291.0,7929.0,1982.0,0.0,0.0,6.0,0.0,376263.0,0.0,0.0,0.0,0.0,27291.0,0.0,64782.0,6689.0,31812.0,0.0,0.0,0.0,0.0,0.0,Adrian,MI,0
"LifeTime Resources , dba: Catch-a-Ride",50324,1110706.0,302305.0,218983.0,84918.0,0.0,0.0,0.0,0.0,20.0,0.0,1716912.0,0.0,0.0,0.0,0.0,43588.0,0.0,407396.0,26537.0,40372.0,0.0,0.0,0.0,0.0,0.0,Dillsboro,IN,0
Geauga County Transit,50326,556919.0,445180.0,25057.0,184945.0,0.0,0.0,0.0,0.0,14.0,0.0,1212101.0,0.0,0.0,0.0,0.0,97148.0,0.0,391824.0,18999.0,29056.0,0.0,0.0,0.0,0.0,0.0,Chardon,OH,0
South Central Illinois Mass Transit District,50327,2271279.0,5893326.0,0.0,2055531.0,0.0,84806.0,0.0,0.0,208.0,0.0,10220136.0,0.0,0.0,0.0,0.0,177142.0,0.0,1339300.0,71093.0,321210.0,0.0,0.0,0.0,0.0,0.0,Centralia,IL,0
